year,target,target_label,flow_order,step,is_primary_analysis_cohort,n_records,target_known_n,target_missing_n,event_n,event_rate_pct_among_known,population_coverage_pct_of_full_cohort,event_capture_pct_of_full_cohort_events,early_entry_max_month,definition
2022,target_preterm,Preterm birth (<37 completed OE weeks),10,all_records,0,3676029,3673224,2805,381231,10.37864829370602,,,3,All occurrence-file records.
2022,target_preterm,Preterm birth (<37 completed OE weeks),20,us_residents,0,3667758,3665087,2671,380548,10.383055027070299,,,3,"residence_status in {1,2,3}."
2022,target_preterm,Preterm birth (<37 completed OE weeks),30,us_resident_singletons,0,3550380,3547741,2639,307562,8.66923487368441,,,3,U.S. residents with plurality=1; primary population before target-availability filtering.
2022,target_preterm,Preterm birth (<37 completed OE weeks),40,target_missing_excluded,0,2639,0,2639,0,,,,3,Primary population records with unknown target; excluded from target-specific modelling.
2022,target_preterm,Preterm birth (<37 completed OE weeks),50,full_cohort,1,3547741,3547741,0,307562,8.66923487368441,100.0,100.0,3,"U.S.-resident singleton births with known target, regardless of prenatal-care entry."
2022,target_preterm,Preterm birth (<37 completed OE weeks),60,early_entry,1,2671654,2671654,0,221566,8.293214615365612,75.30577908590283,72.03945871076401,3,Full cohort with prenatal care beginning between month 1 and the configured early-entry maximum.
2022,target_preterm,Preterm birth (<37 completed OE weeks),70,later_entry,0,727408,727408,0,57664,7.927325517453753,20.503413298772372,18.74874009142872,3,Full cohort with prenatal care beginning after the configured early-entry maximum through month 10.
2022,target_preterm,Preterm birth (<37 completed OE weeks),80,no_care,0,73709,73709,0,16945,22.98905154051744,2.07763193536394,5.509458255571235,3,Full cohort with prenatal_care_month=0.
2022,target_preterm,Preterm birth (<37 completed OE weeks),90,unknown_care,0,74970,74970,0,11387,15.18874216353208,2.113175679960854,3.702342942236037,3,Full cohort with unknown prenatal_care_month.
2022,target_nicu,NICU admission,10,all_records,0,3676029,3668920,7109,348152,9.48922298660096,,,3,All occurrence-file records.
2022,target_nicu,NICU admission,20,us_residents,0,3667758,3660748,7010,347580,9.494780848067116,,,3,"residence_status in {1,2,3}."
2022,target_nicu,NICU admission,30,us_resident_singletons,0,3550380,3543543,6837,298503,8.423857139591647,,,3,U.S. residents with plurality=1; primary population before target-availability filtering.
2022,target_nicu,NICU admission,40,target_missing_excluded,0,6837,0,6837,0,,,,3,Primary population records with unknown target; excluded from target-specific modelling.
2022,target_nicu,NICU admission,50,full_cohort,1,3543543,3543543,0,298503,8.423857139591647,100.0,100.0,3,"U.S.-resident singleton births with known target, regardless of prenatal-care entry."
2022,target_nicu,NICU admission,60,early_entry,1,2667311,2667311,0,211274,7.920861121931413,75.27243213924595,70.77784812882953,3,Full cohort with prenatal care beginning between month 1 and the configured early-entry maximum.
