year,canonical_field,source_field,dtype,role,n_rows,missing_n,missing_pct,non_missing_n,distinct_non_missing,numeric_min,numeric_max,invalid_n,status
2022,birth_year,birth_year,Int64,time,3676029,0,0.0,3676029,1,2022.0,2022.0,0,PASS
2022,birth_month,birth_month,Int64,time,3676029,0,0.0,3676029,12,1.0,12.0,0,PASS
2022,residence_status,residence_status,category,population,3676029,0,0.0,3676029,4,1.0,4.0,0,PASS
2022,mother_age,mother_age,Int64,demographic,3676029,0,0.0,3676029,39,12.0,50.0,0,PASS
2022,mother_race,mother_race,category,demographic,3676029,0,0.0,3676029,31,1.0,31.0,0,PASS
2022,marital_status,marital_status,category,demographic,3676029,420256,11.432336360784966,3255773,2,1.0,2.0,0,PASS
2022,mother_educ,mother_educ,category,demographic,3676029,61689,1.6781423650357492,3614340,8,1.0,8.0,0,PASS
2022,wic_benefits,wic_benefits,boolean,social,3676029,42810,1.1645718790575375,3633219,2,0.0,1.0,0,PASS
2022,mother_height_inches,mother_height_inches,Int64,physical,3676029,20202,0.5495604087998217,3655827,46,30.0,78.0,0,PASS
2022,mother_bmi,mother_bmi,Float64,physical,3676029,76090,2.069896619422752,3599939,567,13.0,69.9,0,PASS
2022,mother_weight_pre,mother_weight_pre,Int64,physical,3676029,66170,1.8000402064292746,3609859,301,75.0,375.0,0,PASS
2022,weight_gain,weight_gain,Int64,pregnancy_information,3676029,103676,2.8203259549911057,3572353,99,0.0,98.0,0,PASS
2022,prior_live_births,prior_live_births,Int64,obstetric_history,3676029,7300,0.1985838523036679,3668729,21,0.0,21.0,0,PASS
2022,prior_dead_births,prior_dead_births,Int64,obstetric_history,3676029,11701,0.3183054323020847,3664328,16,0.0,25.0,0,PASS
2022,prior_terminations,prior_terminations,Int64,obstetric_history,3676029,11942,0.3248614197548496,3664087,27,0.0,26.0,0,PASS
2022,prenatal_care_month,prenatal_care_month,Int64,cohort_variable,3676029,79586,2.1649992423890017,3596443,11,0.0,10.0,0,PASS
2022,prenatal_visits,prenatal_visits,Int64,pregnancy_information,3676029,77764,2.1154348891154013,3598265,88,0.0,98.0,0,PASS
2022,cigarettes_1_tri,cigarettes_1_tri,Int64,pregnancy_information,3676029,15525,0.42233072698828,3660504,60,0.0,98.0,0,PASS
2022,diab_pre,diab_pre,boolean,maternal_risk,3676029,6787,0.18462857610753342,3669242,2,0.0,1.0,0,PASS
2022,diab_gest,diab_gest,boolean,pregnancy_oracle,3676029,6787,0.18462857610753342,3669242,2,0.0,1.0,0,PASS
2022,hyper_pre,hyper_pre,boolean,maternal_risk,3676029,6787,0.18462857610753342,3669242,2,0.0,1.0,0,PASS
2022,hyper_gest,hyper_gest,boolean,pregnancy_oracle,3676029,6787,0.18462857610753342,3669242,2,0.0,1.0,0,PASS
2022,eclampsia,eclampsia,boolean,pregnancy_oracle,3676029,6787,0.18462857610753342,3669242,2,0.0,1.0,0,PASS
2022,delivery_method,delivery_method,category,delivery_outcome,3676029,2813,0.07652279130550929,3673216,6,1.0,6.0,0,PASS
2022,delivery_method_binary,delivery_method_binary,category,delivery_outcome,3676029,2813,0.07652279130550929,3673216,2,1.0,2.0,0,PASS
2022,plurality,plurality,category,population,3676029,0,0.0,3676029,4,1.0,4.0,0,PASS
2022,child_sex,child_sex,category,infant,3676029,0,0.0,3676029,2,,,0,PASS
2022,gestation_combined_weeks,gestation_weeks_combined,Int64,outcome_source,3676029,2805,0.07630516516599842,3673224,31,17.0,47.0,0,PASS
2022,gestation_oe_weeks,gestation_weeks,Int64,outcome_source,3676029,2805,0.07630516516599842,3673224,31,17.0,47.0,0,PASS
2022,gestation_oe_recode3,preterm_recode,category,outcome_source,3676029,2805,0.07630516516599842,3673224,2,1.0,2.0,0,PASS
2022,birth_weight_g,birth_weight_g,Int64,outcome_source,3676029,3084,0.08389487678143998,3672945,5285,227.0,8165.0,0,PASS
2022,an_vent,an_vent,boolean,newborn_outcome,3676029,7109,0.1933880282228459,3668920,2,0.0,1.0,0,PASS
2022,admit_nicu,admit_nicu,boolean,outcome_source,3676029,7109,0.1933880282228459,3668920,2,0.0,1.0,0,PASS
2022,an_seiz,an_seiz,boolean,newborn_outcome,3676029,7109,0.1933880282228459,3668920,2,0.0,1.0,0,PASS
2023,birth_year,birth_year,Int64,time,3605081,0,0.0,3605081,1,2023.0,2023.0,0,PASS
2023,birth_month,birth_month,Int64,time,3605081,0,0.0,3605081,12,1.0,12.0,0,PASS
2023,residence_status,residence_status,category,population,3605081,0,0.0,3605081,4,1.0,4.0,0,PASS
2023,mother_age,mother_age,Int64,demographic,3605081,0,0.0,3605081,39,12.0,50.0,0,PASS
2023,mother_race,mother_race,category,demographic,3605081,0,0.0,3605081,31,1.0,31.0,0,PASS
2023,marital_status,marital_status,category,demographic,3605081,401187,11.128376865873472,3203894,2,1.0,2.0,0,PASS
2023,mother_educ,mother_educ,category,demographic,3605081,65027,1.8037597490874684,3540054,8,1.0,8.0,0,PASS
2023,wic_benefits,wic_benefits,boolean,social,3605081,40384,1.1201967445391656,3564697,2,0.0,1.0,0,PASS
2023,mother_height_inches,mother_height_inches,Int64,physical,3605081,20220,0.5608750538476112,3584861,46,30.0,78.0,0,PASS
