canonical_field,cdc_2022_column,cdc_2023_column,dtype,role,normalization,official_missing_codes,missing_n_2022,missing_pct_2022,missing_n_2023,missing_pct_2023,missing_pct_difference_2023_minus_2022,invalid_n_2022,invalid_n_2023,status,notes
birth_year,birth_year,birth_year,Int64,time,official unknown code -> blank,,0,0.0,0,0.0,0.0,0,0,MATCH,
birth_month,birth_month,birth_month,Int64,time,official unknown code -> blank,,0,0.0,0,0.0,0.0,0,0,MATCH,
residence_status,residence_status,residence_status,category,population,official unknown code -> blank,,0,0.0,0,0.0,0.0,0,0,MATCH,1-3 U.S. resident; 4 foreign resident
mother_age,mother_age,mother_age,Int64,demographic,official unknown code -> blank,,0,0.0,0,0.0,0.0,0,0,MATCH,
mother_race,mother_race,mother_race,category,demographic,official unknown code -> blank,99,0,0.0,0,0.0,0.0,0,0,MATCH,
marital_status,marital_status,marital_status,category,demographic,official unknown code -> blank,9,420256,11.432336360784966,401187,11.128376865873472,-0.3039594949114939,0,0,MATCH,
mother_educ,mother_educ,mother_educ,category,demographic,official unknown code -> blank,9,61689,1.6781423650357492,65027,1.8037597490874684,0.12561738405171918,0,0,MATCH,
wic_benefits,wic_benefits,wic_benefits,boolean,social,Y/N -> 1/0; unknown -> blank,U,42810,1.1645718790575375,40384,1.1201967445391656,-0.04437513451837183,0,0,MATCH,
mother_height_inches,mother_height_inches,mother_height_inches,Int64,physical,official unknown code -> blank,99,20202,0.5495604087998217,20220,0.5608750538476112,0.011314645047789451,0,0,MATCH,
mother_bmi,mother_bmi,mother_bmi,Float64,physical,official unknown code -> blank,99.9,76090,2.069896619422752,82658,2.2928194955952446,0.2229228761724924,0,0,MATCH,
mother_weight_pre,mother_weight_pre,mother_weight_pre,Int64,physical,official unknown code -> blank,999,66170,1.8000402064292746,72301,2.0055305276081175,0.2054903211788428,0,0,MATCH,
weight_gain,weight_gain,weight_gain,Int64,pregnancy_information,official unknown code -> blank,99,103676,2.8203259549911057,102972,2.856301980454808,0.03597602546370249,0,0,MATCH,98 means 98 pounds or more
prior_live_births,prior_live_births,prior_live_births,Int64,obstetric_history,official unknown code -> blank,99,7300,0.1985838523036679,5664,0.1571115877840193,-0.04147226451964861,0,0,MATCH,
prior_dead_births,prior_dead_births,prior_dead_births,Int64,obstetric_history,official unknown code -> blank,99,11701,0.3183054323020847,9769,0.27097865484853184,-0.04732677745355285,0,0,MATCH,
prior_terminations,prior_terminations,prior_terminations,Int64,obstetric_history,official unknown code -> blank,99,11942,0.3248614197548496,11320,0.31400126654574473,-0.010860153209104884,0,0,MATCH,
prenatal_care_month,prenatal_care_month,prenatal_care_month,Int64,cohort_variable,official unknown code -> blank,99,79586,2.1649992423890017,67803,1.8807621798234215,-0.2842370625655801,0,0,MATCH,0 means no prenatal care; blank means unknown
prenatal_visits,prenatal_visits,prenatal_visits,Int64,pregnancy_information,official unknown code -> blank,99,77764,2.1154348891154013,65746,1.8237038224661248,-0.2917310666492765,0,0,MATCH,
cigarettes_1_tri,cigarettes_1_tri,cigarettes_1_tri,Int64,pregnancy_information,official unknown code -> blank,99,15525,0.42233072698828,13744,0.3812397003007699,-0.04109102668751008,0,0,MATCH,98 means 98 cigarettes or more
diab_pre,diab_pre,diab_pre,boolean,maternal_risk,Y/N -> 1/0; unknown -> blank,U,6787,0.18462857610753342,5945,0.16490614219208943,-0.019722433915443982,0,0,MATCH,
diab_gest,diab_gest,diab_gest,boolean,pregnancy_oracle,Y/N -> 1/0; unknown -> blank,U,6787,0.18462857610753342,5945,0.16490614219208943,-0.019722433915443982,0,0,MATCH,
hyper_pre,hyper_pre,hyper_pre,boolean,maternal_risk,Y/N -> 1/0; unknown -> blank,U,6787,0.18462857610753342,5945,0.16490614219208943,-0.019722433915443982,0,0,MATCH,
hyper_gest,hyper_gest,hyper_gest,boolean,pregnancy_oracle,Y/N -> 1/0; unknown -> blank,U,6787,0.18462857610753342,5945,0.16490614219208943,-0.019722433915443982,0,0,MATCH,
eclampsia,eclampsia,eclampsia,boolean,pregnancy_oracle,Y/N -> 1/0; unknown -> blank,U,6787,0.18462857610753342,5945,0.16490614219208943,-0.019722433915443982,0,0,MATCH,
delivery_method,delivery_method,delivery_method,category,delivery_outcome,official unknown code -> blank,9,2813,0.07652279130550929,2736,0.07589288562448389,-0.0006299056810254028,0,0,MATCH,
delivery_method_binary,delivery_method_binary,delivery_method_binary,category,delivery_outcome,official unknown code -> blank,9,2813,0.07652279130550929,2736,0.07589288562448389,-0.0006299056810254028,0,0,MATCH,
plurality,plurality,plurality,category,population,official unknown code -> blank,,0,0.0,0,0.0,0.0,0,0,MATCH,
child_sex,child_sex,child_sex,category,infant,official unknown code -> blank,,0,0.0,0,0.0,0.0,0,0,MATCH,
gestation_combined_weeks,gestation_weeks_combined,gestation_combined_weeks,Int64,outcome_source,official unknown code -> blank,99,2805,0.07630516516599842,2788,0.07733529426939367,0.0010301291033952553,0,0,MATCH,"COMBGEST; retained for audit, not used for target_preterm"
gestation_oe_weeks,gestation_weeks,gestation_oe_weeks,Int64,outcome_source,official unknown code -> blank,99,2805,0.07630516516599842,2788,0.07733529426939367,0.0010301291033952553,0,0,MATCH,OEGest_Comb; official source for target_preterm
gestation_oe_recode3,preterm_recode,gestation_oe_recode3,category,outcome_source,official unknown code -> blank,3,2805,0.07630516516599842,2788,0.07733529426939367,0.0010301291033952553,0,0,MATCH,"OEGest_R3: 1 under 37 weeks, 2 at least 37 weeks"
birth_weight_g,birth_weight_g,birth_weight_g,Int64,outcome_source,official unknown code -> blank,9999,3084,0.08389487678143998,3011,0.0835210082658337,-0.0003738685156062793,0,0,MATCH,
an_vent,an_vent,an_vent,boolean,newborn_outcome,Y/N -> 1/0; unknown -> blank,U,7109,0.1933880282228459,6652,0.18451735203730513,-0.008870676185540771,0,0,MATCH,
admit_nicu,admit_nicu,admit_nicu,boolean,outcome_source,Y/N -> 1/0; unknown -> blank,U,7109,0.1933880282228459,6652,0.18451735203730513,-0.008870676185540771,0,0,MATCH,
an_seiz,an_seiz,an_seiz,boolean,newborn_outcome,Y/N -> 1/0; unknown -> blank,U,7109,0.1933880282228459,6652,0.18451735203730513,-0.008870676185540771,0,0,MATCH,
