year,scope,target,population_n,known_target_n,positive_n,negative_n,missing_target_n,prevalence_pct_among_known
2022,all_records,target_preterm,3676029,3673224,381231,3291993,2805,10.37864829370602
2022,all_records,target_nicu,3676029,3668920,348152,3320768,7109,9.48922298660096
2022,all_records,target_lbw,3676029,3672945,315904,3357041,3084,8.600836658321864
2022,all_records,target_gdm,3676029,3669242,296847,3372395,6787,8.090145049031925
2022,us_residents,target_preterm,3667758,3665087,380548,3284539,2671,10.383055027070299
2022,us_residents,target_nicu,3667758,3660748,347580,3313168,7010,9.494780848067116
2022,us_residents,target_lbw,3667758,3664768,315288,3349480,2990,8.603218539345464
2022,us_residents,target_gdm,3667758,3661153,296451,3364702,6605,8.097203258099293
2022,us_resident_singletons,target_preterm,3550380,3547741,307562,3240179,2639,8.66923487368441
2022,us_resident_singletons,target_nicu,3550380,3543543,298503,3245040,6837,8.423857139591647
2022,us_resident_singletons,target_lbw,3550380,3547668,248745,3298923,2712,7.011507277456628
2022,us_resident_singletons,target_gdm,3550380,3543964,284490,3259474,6416,8.027451746123832
2023,all_records,target_preterm,3605081,3602293,374643,3227650,2788,10.400125697715316
2023,all_records,target_nicu,3605081,3598429,352498,3245931,6652,9.795885926886427
2023,all_records,target_lbw,3605081,3602070,308943,3293127,3011,8.57681832946056
2023,all_records,target_gdm,3605081,3599136,297144,3301992,5945,8.25598143554453
2023,us_residents,target_preterm,3596017,3593375,373902,3219473,2642,10.405315337252583
2023,us_residents,target_nicu,3596017,3589483,351804,3237679,6534,9.800965765821987
2023,us_residents,target_lbw,3596017,3593102,308263,3284839,2915,8.579300003172746
2023,us_residents,target_gdm,3596017,3590265,296661,3293604,5752,8.26292766689924
2023,us_resident_singletons,target_preterm,3482971,3480382,303001,3177381,2589,8.705969632069124
2023,us_resident_singletons,target_nicu,3482971,3476584,303285,3173299,6387,8.72364942138605
2023,us_resident_singletons,target_lbw,3482971,3480316,243776,3236540,2655,7.004421437593598
2023,us_resident_singletons,target_gdm,3482971,3477379,284864,3192515,5592,8.191916958145775
