replicate,availability_target_fraction,availability_relation,availability_slope,availability_intercept,realized_available_n,realized_available_fraction,full_population_event_n,available_event_n,event_availability_ceiling
1,0.5,higher_risk_less_available,-1.0,0.0,50137,0.50137,9883,3277,0.3315794799150056
1,0.5,risk_independent,0.0,0.0,50069,0.50069,9883,4972,0.5030861074572498
1,0.5,higher_risk_more_available,1.0,0.0,49919,0.49919,9883,6573,0.6650814530001011
1,0.7,higher_risk_less_available,-1.0,1.0184006519909872,70255,0.70255,9883,5387,0.5450774056460589
1,0.7,risk_independent,0.0,0.8472978603867887,69979,0.69979,9883,6881,0.6962460791257715
1,0.7,higher_risk_more_available,1.0,1.0184006519909872,69884,0.69884,9883,8149,0.8245472022665182
1,0.9,higher_risk_less_available,-1.0,2.5642215001107616,90121,0.90121,9883,8054,0.814934736416068
1,0.9,risk_independent,0.0,2.197224577337238,90030,0.9003,9883,8845,0.8949711626024487
1,0.9,higher_risk_more_available,1.0,2.5642215001107616,89930,0.8993,9883,9420,0.9531518769604371
2,0.5,higher_risk_less_available,-1.0,0.0,49813,0.49813,9866,3268,0.3312385972025137
2,0.5,risk_independent,0.0,0.0,49847,0.49847,9866,4923,0.4989864180012163
2,0.5,higher_risk_more_available,1.0,0.0,49969,0.49969,9866,6479,0.6566997770119603
2,0.7,higher_risk_less_available,-1.0,1.0184006519909872,69787,0.69787,9866,5353,0.5425704439489155
2,0.7,risk_independent,0.0,0.8472978603867887,69780,0.6978,9866,6876,0.6969389823636732
2,0.7,higher_risk_more_available,1.0,1.0184006519909872,69789,0.69789,9866,8186,0.8297182242043382
2,0.9,higher_risk_less_available,-1.0,2.5642215001107616,89859,0.89859,9866,8050,0.8159335090208798
2,0.9,risk_independent,0.0,2.197224577337238,89901,0.89901,9866,8857,0.8977295763227245
2,0.9,higher_risk_more_available,1.0,2.5642215001107616,89903,0.89903,9866,9414,0.9541860936549766
3,0.5,higher_risk_less_available,-1.0,0.0,50425,0.50425,9822,3406,0.34677255141519037
3,0.5,risk_independent,0.0,0.0,50229,0.50229,9822,4945,0.5034616167786602
