target,feature_set,model,evaluation,availability_scenario,protocol,nominal_fraction,budget_n,threshold,threshold_source_year,full_population_n,full_population_event_n,eligible_n,eligible_event_n,selected_n,true_positive_n,selection_rate_among_eligible,precision,recall_among_eligible,population_event_capture,event_availability_ceiling
target_preterm,landmark_strict,lightgbm,temporal_test_2023,early_entry,cohort_specific_top_fraction,0.05,130053,,,3480382,303001,2601060,217632,130053,27434,0.05,0.21094476867123405,0.12605682987795913,0.09054095531037851,0.718255055263844
target_preterm,landmark_strict,lightgbm,temporal_test_2023,any_prenatal_care,cohort_specific_top_fraction,0.05,167018,,,3480382,303001,3340358,275914,167018,34710,0.05000002993691095,0.20782191141074616,0.12580006813717318,0.11455407737928258,0.9106042554315003
target_preterm,landmark_strict,lightgbm,temporal_test_2023,all_record_upper_bound,cohort_specific_top_fraction,0.05,174019,,,3480382,303001,3480382,303001,174019,37631,0.04999997126752179,0.21624650181876692,0.12419430958973733,0.12419430958973733,1.0
target_preterm,landmark_strict,lightgbm,temporal_test_2023,early_entry,fixed_absolute_budget,0.05,174019,,,3480382,303001,2601060,217632,174019,33618,0.06690310873259364,0.1931858015504054,0.15447176885752095,0.11095012887746245,0.718255055263844
target_preterm,landmark_strict,lightgbm,temporal_test_2023,any_prenatal_care,fixed_absolute_budget,0.05,174019,,,3480382,303001,3340358,275914,174019,35687,0.0520959130727904,0.205075307868681,0.12934102655175164,0.1177784891799037,0.9106042554315003
target_preterm,landmark_strict,lightgbm,temporal_test_2023,all_record_upper_bound,fixed_absolute_budget,0.05,174019,,,3480382,303001,3480382,303001,174019,37631,0.04999997126752179,0.21624650181876692,0.12419430958973733,0.12419430958973733,1.0
target_preterm,landmark_strict,lightgbm,temporal_test_2023,early_entry,fixed_calibration_threshold,0.05,,0.15552919096972664,2022,3480382,303001,2601060,217632,129414,27349,0.04975433092662222,0.21132953158081816,0.12566626231436553,0.09026042818340534,0.718255055263844
target_preterm,landmark_strict,lightgbm,temporal_test_2023,any_prenatal_care,fixed_calibration_threshold,0.05,,0.15552919096972664,2022,3480382,303001,3340358,275914,172572,35489,0.051662725971288105,0.20564749785596736,0.12862341164275826,0.11712502599001323,0.9106042554315003
target_preterm,landmark_strict,lightgbm,temporal_test_2023,all_record_upper_bound,fixed_calibration_threshold,0.05,,0.15552919096972664,2022,3480382,303001,3480382,303001,183664,39100,0.05277121879150047,0.2128887533757296,0.12904247840766203,0.12904247840766203,1.0
target_preterm,landmark_strict,lightgbm,temporal_test_2023,early_entry,cohort_specific_top_fraction,0.1,260106,,,3480382,303001,2601060,217632,260106,44326,0.1,0.17041513844355763,0.20367409204528747,0.1462899462378012,0.718255055263844
