condition_id,availability_target_fraction,availability_relation,model_quality,score_noise_sd,expected_score_latent_correlation,nominal_fraction,mean_naive_top_fraction_effect,q025_naive_top_fraction_effect,q975_naive_top_fraction_effect,mean_availability_effect_at_all_budget,q025_availability_effect_at_all_budget,q975_availability_effect_at_all_budget,mean_availability_main_effect,q025_availability_main_effect,q975_availability_main_effect,mean_capacity_main_effect,q025_capacity_main_effect,q975_capacity_main_effect,mean_shapley_availability_effect,q025_shapley_availability_effect,q975_shapley_availability_effect,mean_shapley_capacity_effect,q025_shapley_capacity_effect,q975_shapley_capacity_effect,mean_interaction_effect,q025_interaction_effect,q975_interaction_effect,mean_distortion_top_fraction_minus_fixed_budget,q025_distortion_top_fraction_minus_fixed_budget,q975_distortion_top_fraction_minus_fixed_budget,naive_fixed_budget_sign_reversal,sign_reversal_replicate_fraction,fixed_budget_interval_below_zero,fixed_budget_interval_above_zero,shapley_availability_interval_below_zero,shapley_capacity_interval_below_zero,interaction_interval_below_zero,interaction_interval_above_zero,max_abs_interaction_replicate
1,0.5,higher_risk_less_available,good,0.5,0.8944271909999159,0.05,0.11360792908124098,0.1074931337155359,0.11965221156089419,0.07695048817381835,0.06947734642543384,0.08352702252664465,0.042709329518326046,0.03744197789496852,0.049124236609203065,0.036657440907422637,0.03362016944242095,0.04008192438253273,0.059829908846072206,0.05388095742044597,0.06584202471746764,0.05377802023516878,0.05151639682930983,0.056365603903354135,0.03424115865549229,0.027267673372856606,0.04041326734687098,0.036657440907422637,0.033620169442420945,0.04008192438253273,False,0.0,False,True,False,False,False,True,0.042311974896244546
2,0.5,higher_risk_less_available,good,0.5,0.8944271909999159,0.1,0.19108384633647046,0.18372983649218136,0.19862240172850376,0.13544864259769474,0.12592852981786226,0.14404790062547826,0.07699019285892632,0.06977896413288508,0.08338828794075462,0.055635203738775695,0.052101106629394,0.0598613837273008,0.10621941772831052,0.09884922855036268,0.1133116082002841,0.08486442860815993,0.08146365653859294,0.08868066159981286,0.05845844973876844,0.05126698486725915,0.06514218161588498,0.05563520373877569,0.052101106629394,0.05986138372730079,False,0.0,False,True,False,False,False,True,0.07062118635590676
3,0.5,higher_risk_less_available,good,0.5,0.8944271909999159,0.2,0.3086277434344095,0.2995850523218663,0.3204201646574625,0.23040908117380038,0.21902361126654524,0.2444900989093783,0.13550224056771024,0.1259229403348041,0.1442544552333124,0.07821866226060915,0.07342964658855099,0.08322737575262891,0.1829556608707553,0.17365526973983272,0.19342758909754132,0.12567208256365425,0.12168027072585982,0.12958500347580648,0.09490684060609017,0.08739142922208867,0.10228259596176745,0.07821866226060914,0.07342964658855097,0.08322737575262892,False,0.0,False,True,False,False,False,True,0.10718503937007873
4,0.5,higher_risk_less_available,medium,1.0,0.7071067811865475,0.05,0.09231603361887589,0.08767899390815757,0.09723900386116098,0.060589965238393405,0.05429844051242298,0.06638386512666736,0.033209847310172826,0.028582964221893936,0.0382770441355338,0.03172606838048248,0.02875073713080873,0.034701355612107326,0.0468999062742831,0.042403327559918436,0.051912569238207903,0.045416127344592765,0.04328507878077056,0.04798291245268741,0.027380117928220572,0.021820995595015456,0.032274999874217905,0.03172606838048248,0.02875073713080873,0.034701355612107326,False,0.0,False,True,False,False,False,True,0.032882792011297145
5,0.5,higher_risk_less_available,medium,1.0,0.7071067811865475,0.1,0.1595168886095478,0.15287578632367002,0.16687837376550535,0.10845019122311493,0.1004014470859967,0.11815580217088789,0.06058309307000218,0.05431603266421512,0.06654546890971838,0.05106669738643286,0.047350226076061035,0.05509284666448555,0.08451664214655855,0.07821981238749179,0.09174847280422668,0.07500024646298924,0.07154710213134483,0.07754346073670437,0.04786709815311275,0.04075806841789985,0.0539409717102131,0.05106669738643286,0.047350226076061035,0.055092846664485544,False,0.0,False,True,False,False,False,True,0.058717615284585384
6,0.5,higher_risk_less_available,medium,1.0,0.7071067811865475,0.2,0.2681907289393449,0.2587047463676139,0.2807246319130232,0.1898463166823815,0.17770903627498016,0.20275191710311882,0.10846670087897284,0.1003874576587356,0.11825790287770767,0.07834441225696345,0.07434664921057085,0.08288574238050858,0.14915650878067718,0.14109632796343158,0.15873244951408153,0.11903422015866778,0.11459463185954592,0.12312276284839405,0.08137961580340863,0.07222105945606337,0.08863648323891787,0.07834441225696344,0.07434664921057085,0.08288574238050858,False,0.0,False,True,False,False,False,True,0.09218356026222896
7,0.5,higher_risk_less_available,weak,2.0,0.4472135954999579,0.05,0.06646718692620995,0.06232683726368103,0.07116026514512201,0.040975293534546084,0.0362459884795747,0.04583595187392701,0.02211507812056466,0.018281070002643236,0.026465922374102432,0.025491893391663866,0.02317328774639242,0.027479952703278167,0.03154518582755537,0.027518541207343157,0.03533711163142906,0.034922001098654586,0.033098185762352766,0.037139479639387615,0.01886021541398142,0.015103437477000626,0.022677080195323968,0.02549189339166387,0.02317328774639242,0.027479952703278163,False,0.0,False,True,False,False,False,True,0.024766262184205298
8,0.5,higher_risk_less_available,weak,2.0,0.4472135954999579,0.1,0.1205818229866732,0.11552607306567693,0.12664832470587678,0.07590854813830493,0.0689601614508585,0.0831064178930911,0.041013820544682125,0.03634597073807777,0.04578299111532719,0.04467327484836827,0.0411348395983654,0.047931189175686895,0.05846118434149353,0.053673947161498585,0.06358941372779503,0.06212063864517968,0.059784516573176585,0.06529372127464993,0.034894727593622804,0.02912697383791303,0.04132787640929674,0.04467327484836827,0.041134839598365405,0.0479311891756869,False,0.0,False,True,False,False,False,True,0.04256384576865296
9,0.5,higher_risk_less_available,weak,2.0,0.4472135954999579,0.2,0.21380926794975608,0.20611539316609168,0.22252388649172317,0.13807534920956108,0.12920869949843355,0.14729383987081915,0.07589207450224734,0.06911541034193786,0.08278448236543501,0.07573391874019503,0.07112264614654484,0.08131484243018579,0.10698371185590419,0.09947578632051923,0.11386578869768599,0.10682555609385185,0.10305590685909834,0.11161728302259316,0.06218327470731373,0.05471329916339341,0.07061995731735624,0.07573391874019503,0.07112264614654484,0.0813148424301858,False,0.0,False,True,False,False,False,True,0.07197610751617722
10,0.5,higher_risk_more_available,good,0.5,0.8944271909999159,0.05,0.07164265384631192,0.0675812930263548,0.07594267498824539,0.0020078606819036574,-0.0011709201752605916,0.004784342324957826,0.0006965054061497767,-0.0016115236300876649,0.003315675424911342,0.06963479316440827,0.06528376024167346,0.07391983032217318,0.0013521830440267168,-0.000604370094604295,0.003385938130371722,0.07029047080228522,0.06661305041632641,0.073871780281244,0.0013113552757538808,-0.002118283018447328,0.004210525342540024,0.06963479316440827,0.06528376024167346,0.07391983032217318,False,0.11,False,False,False,False,False,False,0.005224555410429016
