year,target,nominal_fraction,replicate,full_event_n,B_early,B_all,C00_tp,C01_tp,C10_tp,C11_tp,availability_main_at_early_budget,capacity_main_in_early_cohort,interaction,ordered_capacity_within_early_cohort,ordered_availability_at_all_budget,availability_at_early_budget,capacity_in_all_cohort,shapley_availability,shapley_capacity,total_topq_contrast,identity_factorial_error,identity_shapley_error,interaction_via_availability_error,interaction_via_capacity_error
2024,target_preterm,0.05,0,308269,130149,175639,27873,34341,30957,38572,0.010004249535308443,0.020981675095452346,0.0037207763349542122,0.020981675095452346,0.013725025870262655,0.010004249535308443,0.024702451430406558,0.01186463770278555,0.022842063262929452,0.034706700965715,0.0,0.0,0.0,0.0
2024,target_preterm,0.1,0,308269,260299,351278,45061,55391,51171,63085,0.019820351705815364,0.03350969445516738,0.005138369411131216,0.03350969445516738,0.02495872111694658,0.019820351705815364,0.0386480638662986,0.022389536411380973,0.03607887916073299,0.05846841557211396,0.0,0.0,0.0,0.0
2024,target_preterm,0.05,1,307388,130149,175639,27347,33676,30535,37921,0.010371257173344431,0.020589613127382986,0.003438650825666592,0.020589613127382986,0.013809907999011023,0.010371257173344431,0.024028263953049578,0.012090582586177727,0.022308938540216282,0.03439952112639401,0.0,0.0,0.0,0.0
2024,target_preterm,0.1,1,307388,260299,351278,44229,54750,50341,62133,0.01988366494463023,0.03422710060249587,0.0041348393561232155,0.03422710060249587,0.024018504300753446,0.01988366494463023,0.038361939958619085,0.021951084622691838,0.03629452028055748,0.058245604903249315,0.0,0.0,0.0,0.0
2024,target_preterm,0.05,2,307675,130149,175639,27779,34322,30727,38299,0.00958153896156659,0.02126594620947428,0.003344438124644508,0.02126594620947428,0.012925977086211099,0.00958153896156659,0.024610384334118787,0.011253758023888845,0.022938165271796533,0.03419192329568538,0.0,0.0,0.0,0.0
2024,target_preterm,0.1,2,307675,260299,351278,44850,55342,50954,62910,0.019839115950272213,0.034100918176647455,0.004758267652555437,0.034100918176647455,0.02459738360282765,0.019839115950272213,0.03885918582920289,0.02221824977654993,0.03648005200292517,0.058698301779475104,0.0,0.0,0.0,0.0
2024,target_preterm,0.05,3,307594,130149,175639,27779,34143,30712,38287,0.009535296527240458,0.020689610330500596,0.003937007874015755,0.020689610330500596,0.013472304401256213,0.009535296527240458,0.02462661820451635,0.011503800464248336,0.022658114267508474,0.03416191473175681,0.0,0.0,0.0,0.0
2024,target_preterm,0.1,3,307594,260299,351278,44823,55174,50652,62559,0.01895030462232683,0.033651501654778704,0.00505861622788481,0.033651501654778704,0.02400892085021164,0.01895030462232683,0.038710117882663514,0.021479612736269235,0.03618080976872111,0.057660422504990344,0.0,0.0,0.0,0.0
2024,target_preterm,0.05,4,307209,130149,175639,27684,34257,30686,38260,0.009771849132024127,0.021395857543236044,0.00325836808166427,0.021395857543236044,0.013030217213688397,0.009771849132024127,0.024654225624900314,0.011401033172856262,0.02302504158406818,0.03442607475692444,0.0,0.0,0.0,0.0
2024,target_preterm,0.1,4,307209,260299,351278,44777,55105,50889,62600,0.01989525046466739,0.03361880674068793,0.004501821235705972,0.03361880674068793,0.024397071700373363,0.01989525046466739,0.0381206279763939,0.022146161082520377,0.035869717358540915,0.05801587844106129,0.0,0.0,0.0,0.0
2024,target_preterm,0.05,5,307509,130149,175639,27688,34076,30756,38419,0.009976943764247556,0.020773375738596264,0.004146220110630913,0.020773375738596264,0.01412316387487847,0.009976943764247556,0.024919595849227177,0.012050053819563013,0.02284648579391172,0.034896539613474734,0.0,0.0,0.0,0.0
2024,target_preterm,0.1,5,307509,260299,351278,44433,54809,50887,62662,0.020988003603146566,0.033742101857181434,0.0045494603409981516,0.033742101857181434,0.025537463944144717,0.020988003603146566,0.038291562198179585,0.02326273377364564,0.03601683202768051,0.05927956580132615,0.0,0.0,0.0,0.0
2024,target_preterm,0.05,6,307419,130149,175639,27537,34118,30605,38167,0.009979864614744052,0.02140726500313904,0.0031910844807900574,0.02140726500313904,0.01317094909553411,0.009979864614744052,0.024598349483929097,0.011575406855139081,0.023002807243534068,0.03457821409867315,0.0,0.0,0.0,0.0
2024,target_preterm,0.1,6,307419,260299,351278,44588,55007,50825,62525,0.02028827105676617,0.033891854439706076,0.0041669512944873255,0.033891854439706076,0.024455222351253497,0.02028827105676617,0.0380588057341934,0.022371746704009834,0.03597533008694974,0.05834707679095957,0.0,0.0,0.0,0.0
