target,feature_set,model,evaluation,nominal_fraction,cell,candidate_set,budget_source,candidate_n,candidate_event_n,full_population_n,full_population_event_n,budget_n,selected_n,true_positive_n,precision,population_event_capture,year,eligible_recall,event_ceiling
target_preterm,landmark_strict,lightgbm,temporal_evaluation_cohort_2024,0.05,C00,early_entry,early,2602987,218941,3512780,307612,130149,130149,27691,0.2127638322230674,0.09001924502295099,2024,0.12647699608570345,0.711744015187964
target_preterm,landmark_strict,lightgbm,temporal_evaluation_cohort_2024,0.05,C10,all_record_upper_bound,early,3512780,307612,3512780,307612,130149,130149,30674,0.23568371635586904,0.09971652601328947,2024,0.09971652601328947,1.0
target_preterm,landmark_strict,lightgbm,temporal_evaluation_cohort_2024,0.05,C01,early_entry,all,2602987,218941,3512780,307612,175639,175639,34151,0.19443859279544976,0.11101972614852476,2024,0.15598266199569746,0.711744015187964
target_preterm,landmark_strict,lightgbm,temporal_evaluation_cohort_2024,0.05,C11,all_record_upper_bound,all,3512780,307612,3512780,307612,175639,175639,38303,0.21807798951257978,0.12451724900198952,2024,0.12451724900198952,1.0
target_preterm,landmark_strict,lightgbm,temporal_evaluation_cohort_2024,0.1,C00,early_entry,early,2602987,218941,3512780,307612,260299,260299,44659,0.17156808132186446,0.14517964188653237,2024,0.20397732722514283,0.711744015187964
target_preterm,landmark_strict,lightgbm,temporal_evaluation_cohort_2024,0.1,C10,all_record_upper_bound,early,3512780,307612,3512780,307612,260299,260299,50801,0.1951640229121126,0.16514635319818471,2024,0.16514635319818471,1.0
target_preterm,landmark_strict,lightgbm,temporal_evaluation_cohort_2024,0.1,C01,early_entry,all,2602987,218941,3512780,307612,351278,351278,55069,0.15676757439976316,0.1790209744743378,2024,0.25152438328134064,0.711744015187964
target_preterm,landmark_strict,lightgbm,temporal_evaluation_cohort_2024,0.1,C11,all_record_upper_bound,all,3512780,307612,3512780,307612,351278,351278,62647,0.17834023195304005,0.20365590419099386,2024,0.20365590419099386,1.0
target_nicu,landmark_strict,lightgbm,temporal_evaluation_cohort_2024,0.05,C00,early_entry,early,2600302,218108,3510341,310650,130015,130015,26248,0.20188439795408222,0.08449380331562852,2024,0.12034404973682762,0.7021020441010783
target_nicu,landmark_strict,lightgbm,temporal_evaluation_cohort_2024,0.05,C10,all_record_upper_bound,early,3510341,310650,3510341,310650,130015,130015,29305,0.2253970695688959,0.09433446000321906,2024,0.09433446000321906,1.0
target_nicu,landmark_strict,lightgbm,temporal_evaluation_cohort_2024,0.05,C01,early_entry,all,2600302,218108,3510341,310650,175517,175517,32547,0.1854350290855017,0.10477064220183487,2024,0.1492242375336989,0.7021020441010783
target_nicu,landmark_strict,lightgbm,temporal_evaluation_cohort_2024,0.05,C11,all_record_upper_bound,all,3510341,310650,3510341,310650,175517,175517,36610,0.20858378390697196,0.11784967004667632,2024,0.11784967004667632,1.0
target_nicu,landmark_strict,lightgbm,temporal_evaluation_cohort_2024,0.1,C00,early_entry,early,2600302,218108,3510341,310650,260030,260030,42984,0.1653040033842249,0.1383679381941091,2024,0.1970766776092578,0.7021020441010783
target_nicu,landmark_strict,lightgbm,temporal_evaluation_cohort_2024,0.1,C10,all_record_upper_bound,early,3510341,310650,3510341,310650,260030,260030,48858,0.1878937045725493,0.15727667793336553,2024,0.15727667793336553,1.0
target_nicu,landmark_strict,lightgbm,temporal_evaluation_cohort_2024,0.1,C01,early_entry,all,2600302,218108,3510341,310650,351034,351034,53352,0.1519852777793604,0.17174311926605504,2024,0.24461276065068682,0.7021020441010783
target_nicu,landmark_strict,lightgbm,temporal_evaluation_cohort_2024,0.1,C11,all_record_upper_bound,all,3510341,310650,3510341,310650,351034,351034,60561,0.17252175002991163,0.19494929985514245,2024,0.19494929985514245,1.0
target_lbw,landmark_strict,lightgbm,temporal_evaluation_cohort_2024,0.05,C00,early_entry,early,2601907,168801,3514422,245967,130095,130095,23455,0.18029132556977592,0.09535832042509768,2024,0.13895059863389436,0.6862749881081609
target_lbw,landmark_strict,lightgbm,temporal_evaluation_cohort_2024,0.05,C10,all_record_upper_bound,early,3514422,245967,3514422,245967,130095,130095,26669,0.20499634882201467,0.1084251139380486,2024,0.1084251139380486,1.0
target_lbw,landmark_strict,lightgbm,temporal_evaluation_cohort_2024,0.05,C01,early_entry,all,2601907,168801,3514422,245967,175721,175721,29333,0.16692939375487278,0.11925583513235516,2024,0.1737726672235354,0.6862749881081609
target_lbw,landmark_strict,lightgbm,temporal_evaluation_cohort_2024,0.05,C11,all_record_upper_bound,all,3514422,245967,3514422,245967,175721,175721,33612,0.1912804957859334,0.13665247777140835,2024,0.13665247777140835,1.0
target_lbw,landmark_strict,lightgbm,temporal_evaluation_cohort_2024,0.1,C00,early_entry,early,2601907,168801,3514422,245967,260191,260191,39195,0.15063933802475873,0.15935064459866569,2024,0.23219649172694476,0.6862749881081609
target_lbw,landmark_strict,lightgbm,temporal_evaluation_cohort_2024,0.1,C10,all_record_upper_bound,early,3514422,245967,3514422,245967,260191,260191,45157,0.1735532743253994,0.18358966853277064,2024,0.18358966853277064,1.0
target_lbw,landmark_strict,lightgbm,temporal_evaluation_cohort_2024,0.1,C01,early_entry,all,2601907,168801,3514422,245967,351442,351442,48899,0.13913817927282454,0.19880309147162017,2024,0.28968430281811125,0.6862749881081609
target_lbw,landmark_strict,lightgbm,temporal_evaluation_cohort_2024,0.1,C11,all_record_upper_bound,all,3514422,245967,3514422,245967,351442,351442,56435,0.16058126234200806,0.22944134782308195,2024,0.22944134782308195,1.0
