year,target,nominal_fraction,threshold_precision,threshold,N_all,E_all,selected_n,TP,selection_rate,population_event_capture,precision
2024,target_preterm,0.05,exact,0.1555291909697266,3512780,307612,191482,40782,0.05451010310921834,0.13257610236271666,0.21298085459729896
2024,target_preterm,0.05,rounded_6dp,0.155529,3512780,307612,191482,40782,0.05451010310921834,0.13257610236271666,0.21298085459729896
2024,target_preterm,0.1,exact,0.1245214824015858,3512780,307612,372390,65236,0.10601005471449963,0.21207235088358062,0.1751819329197884
2024,target_preterm,0.1,rounded_6dp,0.124521,3512780,307612,372391,65236,0.10601033938931559,0.21207235088358062,0.17518146249506567
2024,target_nicu,0.05,exact,0.1437270402359792,3510341,310650,192489,39169,0.05483484368042877,0.12608723643972317,0.20348695250118187
2024,target_nicu,0.05,rounded_6dp,0.143727,3510341,310650,192489,39169,0.05483484368042877,0.12608723643972317,0.20348695250118187
2024,target_nicu,0.1,exact,0.1195838570422111,3510341,310650,373434,63350,0.10638111795976517,0.20392724931595044,0.1696417573118677
2024,target_nicu,0.1,rounded_6dp,0.119584,3510341,310650,373426,63350,0.10637883897889122,0.20392724931595044,0.1696453915903017
2024,target_lbw,0.05,exact,0.1439218375255824,3514422,245967,183583,34748,0.05223703926278631,0.14127098350591746,0.18927678488748959
2024,target_lbw,0.05,rounded_6dp,0.143922,3514422,245967,183437,34727,0.05219549615840101,0.1411856061992056,0.1893129521307043
2024,target_lbw,0.1,exact,0.118980024247134,3514422,245967,358394,57240,0.10197807776072423,0.23271414458037054,0.1597124951868614
2024,target_lbw,0.1,rounded_6dp,0.11898,3514422,245967,358394,57240,0.10197807776072423,0.23271414458037054,0.1597124951868614
