target,feature_set,model,evaluation,budget_fraction_of_full_population,budget_n,scenario,care_entry_group,group_population_n,event_n,selected_n,true_positive_n
target_preterm,booking_strict,lightgbm,temporal_test_2023,0.1,348038,early_entry,months_1_3,2601060,217632,348038,57043
target_preterm,booking_strict,lightgbm,temporal_test_2023,0.1,348038,early_entry,after_month_3,739298,58282,0,0
target_preterm,booking_strict,lightgbm,temporal_test_2023,0.1,348038,early_entry,no_prenatal_care,76520,17387,0,0
target_preterm,booking_strict,lightgbm,temporal_test_2023,0.1,348038,early_entry,unknown,63504,9700,0,0
target_preterm,booking_strict,lightgbm,temporal_test_2023,0.1,348038,full_cohort,months_1_3,2601060,217632,231073,42593
target_preterm,booking_strict,lightgbm,temporal_test_2023,0.1,348038,full_cohort,after_month_3,739298,58282,90332,14343
target_preterm,booking_strict,lightgbm,temporal_test_2023,0.1,348038,full_cohort,no_prenatal_care,76520,17387,16243,5330
target_preterm,booking_strict,lightgbm,temporal_test_2023,0.1,348038,full_cohort,unknown,63504,9700,10390,2598
target_nicu,booking_strict,lightgbm,temporal_test_2023,0.1,347658,early_entry,months_1_3,2597274,214174,347658,53897
target_nicu,booking_strict,lightgbm,temporal_test_2023,0.1,347658,early_entry,after_month_3,738055,65142,0,0
target_nicu,booking_strict,lightgbm,temporal_test_2023,0.1,347658,early_entry,no_prenatal_care,77422,15194,0,0
target_nicu,booking_strict,lightgbm,temporal_test_2023,0.1,347658,early_entry,unknown,63833,8775,0,0
target_nicu,booking_strict,lightgbm,temporal_test_2023,0.1,347658,full_cohort,months_1_3,2597274,214174,242461,41611
target_nicu,booking_strict,lightgbm,temporal_test_2023,0.1,347658,full_cohort,after_month_3,738055,65142,81040,13876
target_nicu,booking_strict,lightgbm,temporal_test_2023,0.1,347658,full_cohort,no_prenatal_care,77422,15194,14109,4393
target_nicu,booking_strict,lightgbm,temporal_test_2023,0.1,347658,full_cohort,unknown,63833,8775,10048,2288
target_lbw,booking_strict,lightgbm,temporal_test_2023,0.1,348032,early_entry,months_1_3,2600093,169152,348032,50112
target_lbw,booking_strict,lightgbm,temporal_test_2023,0.1,348032,early_entry,after_month_3,738893,54066,0,0
target_lbw,booking_strict,lightgbm,temporal_test_2023,0.1,348032,early_entry,no_prenatal_care,77325,12870,0,0
target_lbw,booking_strict,lightgbm,temporal_test_2023,0.1,348032,early_entry,unknown,64005,7688,0,0
target_lbw,booking_strict,lightgbm,temporal_test_2023,0.1,348032,full_cohort,months_1_3,2600093,169152,225914,36611
target_lbw,booking_strict,lightgbm,temporal_test_2023,0.1,348032,full_cohort,after_month_3,738893,54066,96119,15254
target_lbw,booking_strict,lightgbm,temporal_test_2023,0.1,348032,full_cohort,no_prenatal_care,77325,12870,16118,4390
target_lbw,booking_strict,lightgbm,temporal_test_2023,0.1,348032,full_cohort,unknown,64005,7688,9881,2213
