population,target,feature_set,model,evaluation,policy,scenario,budget_fraction_of_full_population,budget_n,full_population_n,full_population_event_n,eligible_n,eligible_event_n,selected_n,true_positive_n,selection_rate_among_eligible,precision,recall_among_eligible,population_event_capture,maximum_event_ceiling
all_births_sensitivity,target_preterm,booking_strict,lightgbm,temporal_test_2023,fixed_absolute_budget,early_entry,0.05,179669,3593375,373902,2686488,271053,179669,40880,0.06687876513872387,0.22752951260373241,0.15081921247874033,0.10933346170921793,0.7249305967873935
all_births_sensitivity,target_preterm,booking_strict,lightgbm,temporal_test_2023,fixed_absolute_budget,full_cohort,0.05,179669,3593375,373902,3593375,373902,179669,45173,0.05000006957247713,0.25142345090137974,0.12081507988724319,0.12081507988724319,1.0
all_births_sensitivity,target_preterm,booking_strict,lightgbm,temporal_test_2023,fixed_absolute_budget,early_entry,0.1,359338,3593375,373902,2686488,271053,359338,67980,0.13375753027744774,0.18918121657047127,0.2507996591072595,0.18181234655070044,0.7249305967873935
all_births_sensitivity,target_preterm,booking_strict,lightgbm,temporal_test_2023,fixed_absolute_budget,full_cohort,0.1,359338,3593375,373902,3593375,373902,359338,76139,0.10000013914495426,0.2118868586122258,0.20363357243341837,0.20363357243341837,1.0
all_births_sensitivity,target_nicu,booking_strict,lightgbm,temporal_test_2023,fixed_absolute_budget,early_entry,0.05,179474,3589483,351804,2682612,250081,179474,36635,0.06690270527381523,0.20412427426813912,0.1464925364182005,0.10413468863344362,0.7108532023513092
all_births_sensitivity,target_nicu,booking_strict,lightgbm,temporal_test_2023,fixed_absolute_budget,full_cohort,0.05,179474,3589483,351804,3589483,351804,179474,41509,0.04999995821125215,0.23128141123505355,0.1179889938715876,0.1179889938715876,1.0
all_births_sensitivity,target_nicu,booking_strict,lightgbm,temporal_test_2023,fixed_absolute_budget,early_entry,0.1,358948,3589483,351804,2682612,250081,358948,60837,0.13380541054763045,0.16948694518426066,0.24326918078542553,0.17292867619469932,0.7108532023513092
all_births_sensitivity,target_nicu,booking_strict,lightgbm,temporal_test_2023,fixed_absolute_budget,full_cohort,0.1,358948,3589483,351804,3589483,351804,358948,69658,0.0999999164225043,0.1940615353755976,0.19800229673340838,0.19800229673340838,1.0
all_births_sensitivity,target_lbw,booking_strict,lightgbm,temporal_test_2023,fixed_absolute_budget,early_entry,0.05,179655,3593102,308263,2685357,216739,179655,34687,0.06690171921275272,0.19307561715510282,0.1600404172760786,0.11252404602563396,0.7030976795788012
all_births_sensitivity,target_lbw,booking_strict,lightgbm,temporal_test_2023,fixed_absolute_budget,full_cohort,0.05,179655,3593102,308263,3593102,308263,179655,39466,0.049999972168894735,0.21967660237677772,0.12802704184413957,0.12802704184413957,1.0
all_births_sensitivity,target_lbw,booking_strict,lightgbm,temporal_test_2023,fixed_absolute_budget,early_entry,0.1,359310,3593102,308263,2685357,216739,359310,58598,0.13380343842550543,0.16308480142495338,0.270362048362316,0.19009092884971598,0.7030976795788012
all_births_sensitivity,target_lbw,booking_strict,lightgbm,temporal_test_2023,fixed_absolute_budget,full_cohort,0.1,359310,3593102,308263,3593102,308263,359310,67395,0.09999994433778947,0.18756783835685062,0.21862824925469485,0.21862824925469485,1.0
