target,feature_set,model,evaluation,bootstrap_method,replicates,bootstrap_sample_n,confidence_level,budget_fraction_of_full_population,budget_n,point_early_population_event_capture,point_full_population_event_capture,point_difference_full_minus_early,bootstrap_mean_difference,bootstrap_standard_error,ci_lower,ci_upper,point_additional_true_positives_full_minus_early,bootstrap_mean_additional_true_positives,additional_true_positives_ci_lower,additional_true_positives_ci_upper
target_preterm,booking_strict,lightgbm,calibration_evaluation_2022,paired full-size record-level nonparametric bootstrap,500,355314,0.95,0.05,17766,0.114854717597127,0.12817499183806724,0.013320274240940247,0.013296434875275175,0.0014186521629333307,0.010482553142020047,0.01599819638530659,408,407.236,319.95000000000005,492.525
target_preterm,booking_strict,lightgbm,calibration_evaluation_2022,paired full-size record-level nonparametric bootstrap,500,355314,0.95,0.1,35531,0.18759386222657526,0.21354880835781914,0.025954946131243883,0.026128085280099734,0.0018626770269046594,0.02259082549905508,0.029779094568613308,795,800.246,691.9000000000001,912.525
target_preterm,booking_strict,lightgbm,temporal_test_2023,paired full-size record-level nonparametric bootstrap,500,3480382,0.95,0.05,174019,0.11488740961250953,0.12863983947247698,0.013752429859967455,0.013754968728170926,0.00042997096515692157,0.012924270028842428,0.014590718406991433,4167,4167.33,3915.475,4421.1
target_preterm,booking_strict,lightgbm,temporal_test_2023,paired full-size record-level nonparametric bootstrap,500,3480382,0.95,0.1,348038,0.18826010475212954,0.2140719007528028,0.025811796000673265,0.025823706171410252,0.0005750162047957867,0.02469319629581297,0.02695565834315878,7821,7823.778,7485.8,8156.1
target_nicu,booking_strict,lightgbm,calibration_evaluation_2022,paired full-size record-level nonparametric bootstrap,500,354906,0.95,0.05,17745,0.10738299713734105,0.12219559283669529,0.014812595699354239,0.014896600253543276,0.0013430651579694546,0.012439552736436129,0.017789512939068004,445,447.402,374.95000000000005,533.0999999999999
target_nicu,booking_strict,lightgbm,calibration_evaluation_2022,paired full-size record-level nonparametric bootstrap,500,354906,0.95,0.1,35491,0.17898275747287132,0.2049131216297184,0.025930364156847074,0.02609034918256509,0.0018295084596883177,0.022871632774954364,0.02951702209855252,779,783.608,684.4250000000001,885.05
target_nicu,booking_strict,lightgbm,temporal_test_2023,paired full-size record-level nonparametric bootstrap,500,3476584,0.95,0.05,173829,0.10787872792917552,0.12294706299355392,0.015068335064378394,0.015072759726233313,0.00040369033832809656,0.01428961507580509,0.015873233629626282,4570,4572.334,4338.95,4816.625
target_nicu,booking_strict,lightgbm,temporal_test_2023,paired full-size record-level nonparametric bootstrap,500,3476584,0.95,0.1,347658,0.17771073412796545,0.2049821125344148,0.02727137840644936,0.02727878640262992,0.0005668232521389294,0.026194864887113145,0.02835432806966353,8271,8275.038,7936.8,8605.525
target_lbw,booking_strict,lightgbm,calibration_evaluation_2022,paired full-size record-level nonparametric bootstrap,500,355338,0.95,0.05,17767,0.12109892758163635,0.139735711129855,0.018636783548218655,0.01869446175460496,0.0016743254911926971,0.015262660073873103,0.021889485613650547,464,465.308,380.425,545.0
target_lbw,booking_strict,lightgbm,calibration_evaluation_2022,paired full-size record-level nonparametric bootstrap,500,355338,0.95,0.1,35534,0.2049644535486203,0.23617303289552957,0.031208579346909265,0.03126104859449364,0.002301679803159408,0.02647526844354007,0.03619881591936607,777,778.12,661.0,902.05
target_lbw,booking_strict,lightgbm,temporal_test_2023,paired full-size record-level nonparametric bootstrap,500,3480316,0.95,0.05,174016,0.12339196639537936,0.14220021659228144,0.018808250196902077,0.01881076483328713,0.0005643836205235109,0.017709773255844337,0.019890487208019912,4585,4586.226,4317.325,4859.525
target_lbw,booking_strict,lightgbm,temporal_test_2023,paired full-size record-level nonparametric bootstrap,500,3480316,0.95,0.1,348032,0.20556576529272774,0.23984313468101864,0.0342773693882909,0.034239129059788556,0.0007476064693040754,0.032837129109460426,0.03569110461224178,8356,8347.808,8008.475,8693.525
