population,evaluation,target,feature_set,model,budget_fraction_of_full_population,budget_n,early_selected_n,full_selected_n,early_true_positive_n,full_true_positive_n,additional_true_positives_full_minus_early,early_precision,full_precision,precision_difference_full_minus_early,early_recall_among_eligible,full_recall_among_eligible,early_population_event_capture,full_population_event_capture,population_event_capture_difference_full_minus_early,early_maximum_event_ceiling,full_maximum_event_ceiling
singleton_primary,calibration_evaluation_2022,target_preterm,booking_strict,lightgbm,0.05,17766,17766,17766,3518,3926,408,0.1980186873803895,0.22098390183496566,0.022965214454576166,0.1591711157361325,0.12817499183806724,0.114854717597127,0.12817499183806724,0.013320274240940247,0.7215801501795626,1.0
singleton_primary,calibration_evaluation_2022,target_preterm,booking_strict,lightgbm,0.1,35531,35531,35531,5746,6541,795,0.16171793644986068,0.18409276406518252,0.022374827615321835,0.25997647271740115,0.21354880835781914,0.18759386222657526,0.21354880835781914,0.025954946131243883,0.7215801501795626,1.0
singleton_primary,temporal_test_2023,target_preterm,booking_strict,lightgbm,0.05,174019,174019,174019,34811,38978,4167,0.20004137479240772,0.2239870358983789,0.023945661105971183,0.1599534994853698,0.12863983947247698,0.11488740961250953,0.12863983947247698,0.013752429859967455,0.718255055263844,1.0
singleton_primary,temporal_test_2023,target_preterm,booking_strict,lightgbm,0.1,348038,348038,348038,57043,64864,7821,0.16389876967457576,0.18637045380102174,0.022471684126445984,0.26210759447140125,0.2140719007528028,0.18826010475212954,0.2140719007528028,0.025811796000673265,0.718255055263844,1.0
singleton_primary,calibration_evaluation_2022,target_nicu,booking_strict,lightgbm,0.05,17745,17745,17745,3226,3671,445,0.1817976894899972,0.20687517610594533,0.025077486615948136,0.15167614838497342,0.12219559283669529,0.10738299713734105,0.12219559283669529,0.014812595699354239,0.7079755009653153,1.0
singleton_primary,calibration_evaluation_2022,target_nicu,booking_strict,lightgbm,0.1,35491,35491,35491,5377,6156,779,0.15150319799385759,0.17345242455833873,0.021949226564481145,0.2528092529032865,0.2049131216297184,0.17898275747287132,0.2049131216297184,0.025930364156847074,0.7079755009653153,1.0
singleton_primary,temporal_test_2023,target_nicu,booking_strict,lightgbm,0.05,173829,173829,173829,32718,37288,4570,0.1882194570526207,0.21450966179406197,0.02629020474144128,0.15276364077805896,0.12294706299355392,0.10787872792917552,0.12294706299355392,0.015068335064378394,0.7061806551593386,1.0
singleton_primary,temporal_test_2023,target_nicu,booking_strict,lightgbm,0.1,347658,347658,347658,53897,62168,8271,0.1550287926640549,0.17881941448204844,0.023790621817993546,0.2516505271414831,0.2049821125344148,0.17771073412796545,0.2049821125344148,0.02727137840644936,0.7061806551593386,1.0
singleton_primary,calibration_evaluation_2022,target_lbw,booking_strict,lightgbm,0.05,17767,17767,17767,3015,3479,464,0.16969662858107729,0.19581246130466595,0.026115832723588667,0.1740360193950589,0.139735711129855,0.12109892758163635,0.139735711129855,0.018636783548218655,0.6958268064425432,1.0
singleton_primary,calibration_evaluation_2022,target_lbw,booking_strict,lightgbm,0.1,35534,35534,35534,5103,5880,777,0.14360893791861315,0.16547531941239377,0.021866381493780618,0.29456245670745784,0.23617303289552957,0.2049644535486203,0.23617303289552957,0.031208579346909265,0.6958268064425432,1.0
singleton_primary,temporal_test_2023,target_lbw,booking_strict,lightgbm,0.05,174016,174016,174016,30080,34665,4585,0.17285766826038984,0.19920582015446855,0.026348151894078714,0.17782822550132427,0.14220021659228144,0.12339196639537936,0.14220021659228144,0.018808250196902077,0.6938829088999737,1.0
singleton_primary,temporal_test_2023,target_lbw,booking_strict,lightgbm,0.1,348032,348032,348032,50112,58468,8356,0.1439867598381758,0.1679960463405664,0.024009286502390592,0.29625425652667425,0.23984313468101864,0.20556576529272774,0.23984313468101864,0.0342773693882909,0.6938829088999737,1.0
