population,target,feature_set,model,evaluation,policy,scenario,budget_fraction_of_full_population,budget_n,full_population_n,full_population_event_n,eligible_n,eligible_event_n,selected_n,true_positive_n,selection_rate_among_eligible,precision,recall_among_eligible,population_event_capture,maximum_event_ceiling
singleton_primary,target_preterm,booking_strict,lightgbm,calibration_evaluation_2022,fixed_absolute_budget,early_entry,0.05,17766,355314,30630,267677,22102,17766,3518,0.0663710367345719,0.1980186873803895,0.1591711157361325,0.114854717597127,0.7215801501795626
singleton_primary,target_preterm,booking_strict,lightgbm,calibration_evaluation_2022,fixed_absolute_budget,full_cohort,0.05,17766,355314,30630,355314,30630,17766,3926,0.050000844323612355,0.22098390183496566,0.12817499183806724,0.12817499183806724,1.0
singleton_primary,target_preterm,booking_strict,lightgbm,calibration_evaluation_2022,fixed_absolute_budget,early_entry,0.1,35531,355314,30630,267677,22102,35531,5746,0.13273833762332962,0.16171793644986068,0.25997647271740115,0.18759386222657526,0.7215801501795626
singleton_primary,target_preterm,booking_strict,lightgbm,calibration_evaluation_2022,fixed_absolute_budget,full_cohort,0.1,35531,355314,30630,355314,30630,35531,6541,0.09999887423518353,0.18409276406518252,0.21354880835781914,0.21354880835781914,1.0
singleton_primary,target_preterm,booking_strict,lightgbm,temporal_test_2023,fixed_absolute_budget,early_entry,0.05,174019,3480382,303001,2601060,217632,174019,34811,0.06690310873259364,0.20004137479240772,0.1599534994853698,0.11488740961250953,0.718255055263844
singleton_primary,target_preterm,booking_strict,lightgbm,temporal_test_2023,fixed_absolute_budget,full_cohort,0.05,174019,3480382,303001,3480382,303001,174019,38978,0.04999997126752179,0.2239870358983789,0.12863983947247698,0.12863983947247698,1.0
singleton_primary,target_preterm,booking_strict,lightgbm,temporal_test_2023,fixed_absolute_budget,early_entry,0.1,348038,3480382,303001,2601060,217632,348038,57043,0.13380621746518728,0.16389876967457576,0.26210759447140125,0.18826010475212954,0.718255055263844
singleton_primary,target_preterm,booking_strict,lightgbm,temporal_test_2023,fixed_absolute_budget,full_cohort,0.1,348038,3480382,303001,3480382,303001,348038,64864,0.09999994253504357,0.18637045380102174,0.2140719007528028,0.2140719007528028,1.0
singleton_primary,target_nicu,booking_strict,lightgbm,calibration_evaluation_2022,fixed_absolute_budget,early_entry,0.05,17745,354906,30042,267229,21269,17745,3226,0.06640372115301857,0.1817976894899972,0.15167614838497342,0.10738299713734105,0.7079755009653153
singleton_primary,target_nicu,booking_strict,lightgbm,calibration_evaluation_2022,fixed_absolute_budget,full_cohort,0.05,17745,354906,30042,354906,30042,17745,3671,0.04999915470575307,0.20687517610594533,0.12219559283669529,0.12219559283669529,1.0
singleton_primary,target_nicu,booking_strict,lightgbm,calibration_evaluation_2022,fixed_absolute_budget,early_entry,0.1,35491,354906,30042,267229,21269,35491,5377,0.13281118441486514,0.15150319799385759,0.2528092529032865,0.17898275747287132,0.7079755009653153
singleton_primary,target_nicu,booking_strict,lightgbm,calibration_evaluation_2022,fixed_absolute_budget,full_cohort,0.1,35491,354906,30042,354906,30042,35491,6156,0.1000011270589959,0.17345242455833873,0.2049131216297184,0.2049131216297184,1.0
singleton_primary,target_nicu,booking_strict,lightgbm,temporal_test_2023,fixed_absolute_budget,early_entry,0.05,173829,3476584,303285,2597274,214174,173829,32718,0.06692747857946447,0.1882194570526207,0.15276364077805896,0.10787872792917552,0.7061806551593386
singleton_primary,target_nicu,booking_strict,lightgbm,temporal_test_2023,fixed_absolute_budget,full_cohort,0.05,173829,3476584,303285,3476584,303285,173829,37288,0.04999994247226588,0.21450966179406197,0.12294706299355392,0.12294706299355392,1.0
singleton_primary,target_nicu,booking_strict,lightgbm,temporal_test_2023,fixed_absolute_budget,early_entry,0.1,347658,3476584,303285,2597274,214174,347658,53897,0.13385495715892895,0.1550287926640549,0.2516505271414831,0.17771073412796545,0.7061806551593386
singleton_primary,target_nicu,booking_strict,lightgbm,temporal_test_2023,fixed_absolute_budget,full_cohort,0.1,347658,3476584,303285,3476584,303285,347658,62168,0.09999988494453176,0.17881941448204844,0.2049821125344148,0.2049821125344148,1.0
singleton_primary,target_lbw,booking_strict,lightgbm,calibration_evaluation_2022,fixed_absolute_budget,early_entry,0.05,17767,355338,24897,267581,17324,17767,3015,0.06639858584877102,0.16969662858107729,0.1740360193950589,0.12109892758163635,0.6958268064425432
singleton_primary,target_lbw,booking_strict,lightgbm,calibration_evaluation_2022,fixed_absolute_budget,full_cohort,0.05,17767,355338,24897,355338,24897,17767,3479,0.0500002814221952,0.19581246130466595,0.139735711129855,0.139735711129855,1.0
singleton_primary,target_lbw,booking_strict,lightgbm,calibration_evaluation_2022,fixed_absolute_budget,early_entry,0.1,35534,355338,24897,267581,17324,35534,5103,0.13279717169754204,0.14360893791861315,0.29456245670745784,0.2049644535486203,0.6958268064425432
singleton_primary,target_lbw,booking_strict,lightgbm,calibration_evaluation_2022,fixed_absolute_budget,full_cohort,0.1,35534,355338,24897,355338,24897,35534,5880,0.1000005628443904,0.16547531941239377,0.23617303289552957,0.23617303289552957,1.0
singleton_primary,target_lbw,booking_strict,lightgbm,temporal_test_2023,fixed_absolute_budget,early_entry,0.05,174016,3480316,243776,2600093,169152,174016,30080,0.06692683684775891,0.17285766826038984,0.17782822550132427,0.12339196639537936,0.6938829088999737
singleton_primary,target_lbw,booking_strict,lightgbm,temporal_test_2023,fixed_absolute_budget,full_cohort,0.05,174016,3480316,243776,3480316,243776,174016,34665,0.05000005746604619,0.19920582015446855,0.14220021659228144,0.14220021659228144,1.0
singleton_primary,target_lbw,booking_strict,lightgbm,temporal_test_2023,fixed_absolute_budget,early_entry,0.1,348032,3480316,243776,2600093,169152,348032,50112,0.13385367369551782,0.1439867598381758,0.29625425652667425,0.20556576529272774,0.6938829088999737
singleton_primary,target_lbw,booking_strict,lightgbm,temporal_test_2023,fixed_absolute_budget,full_cohort,0.1,348032,3480316,243776,3480316,243776,348032,58468,0.10000011493209238,0.1679960463405664,0.23984313468101864,0.23984313468101864,1.0
