target,nominal_fraction,cell,canonical_protocol,canonical_scenario,observed_selected_n,canonical_selected_n,observed_true_positive_n,canonical_true_positive_n,observed_population_event_capture,canonical_population_event_capture,status
target_preterm,0.05,C00,cohort_specific_top_fraction,early_entry,130053,130053,27434,27434,0.09054095531037851,0.0905409553103785,PASS
target_preterm,0.05,C01,fixed_absolute_budget,early_entry,174019,174019,33618,33618,0.11095012887746245,0.1109501288774624,PASS
target_preterm,0.05,C11_fixed_budget,fixed_absolute_budget,all_record_upper_bound,174019,174019,37631,37631,0.12419430958973733,0.1241943095897373,PASS
target_preterm,0.05,C11_topq,cohort_specific_top_fraction,all_record_upper_bound,174019,174019,37631,37631,0.12419430958973733,0.1241943095897373,PASS
target_preterm,0.1,C00,cohort_specific_top_fraction,early_entry,260106,260106,44326,44326,0.1462899462378012,0.1462899462378012,PASS
target_preterm,0.1,C01,fixed_absolute_budget,early_entry,348038,348038,54216,54216,0.1789301025409157,0.1789301025409157,PASS
target_preterm,0.1,C11_fixed_budget,fixed_absolute_budget,all_record_upper_bound,348038,348038,61503,61503,0.20297952812036923,0.2029795281203692,PASS
target_preterm,0.1,C11_topq,cohort_specific_top_fraction,all_record_upper_bound,348038,348038,61503,61503,0.20297952812036923,0.2029795281203692,PASS
target_nicu,0.05,C00,cohort_specific_top_fraction,early_entry,129864,129864,25801,25801,0.08507179715449165,0.0850717971544916,PASS
target_nicu,0.05,C01,fixed_absolute_budget,early_entry,173829,173829,31795,31795,0.10483538585818619,0.1048353858581861,PASS
target_nicu,0.05,C11_fixed_budget,fixed_absolute_budget,all_record_upper_bound,173829,173829,35854,35854,0.1182188370674448,0.1182188370674448,PASS
target_nicu,0.05,C11_topq,cohort_specific_top_fraction,all_record_upper_bound,173829,173829,35854,35854,0.1182188370674448,0.1182188370674448,PASS
target_nicu,0.1,C00,cohort_specific_top_fraction,early_entry,259727,259727,42252,42252,0.13931450615757457,0.1393145061575745,PASS
target_nicu,0.1,C01,fixed_absolute_budget,early_entry,347658,347658,52160,52160,0.17198344791202994,0.1719834479120299,PASS
target_nicu,0.1,C11_fixed_budget,fixed_absolute_budget,all_record_upper_bound,347658,347658,59201,59201,0.1951992350429464,0.1951992350429464,PASS
target_nicu,0.1,C11_topq,cohort_specific_top_fraction,all_record_upper_bound,347658,347658,59201,59201,0.1951992350429464,0.1951992350429464,PASS
target_lbw,0.05,C00,cohort_specific_top_fraction,early_entry,130005,130005,23229,23229,0.09528829745339984,0.0952882974533998,PASS
target_lbw,0.05,C01,fixed_absolute_budget,early_entry,174016,174016,28918,28918,0.11862529535311105,0.118625295353111,PASS
target_lbw,0.05,C11_fixed_budget,fixed_absolute_budget,all_record_upper_bound,174016,174016,32892,32892,0.134927146232607,0.134927146232607,PASS
target_lbw,0.05,C11_topq,cohort_specific_top_fraction,all_record_upper_bound,174016,174016,32892,32892,0.134927146232607,0.134927146232607,PASS
target_lbw,0.1,C00,cohort_specific_top_fraction,early_entry,260009,260009,39145,39145,0.16057774350223156,0.1605777435022315,PASS
target_lbw,0.1,C01,fixed_absolute_budget,early_entry,348032,348032,48505,48505,0.1989736479390916,0.1989736479390916,PASS
target_lbw,0.1,C11_fixed_budget,fixed_absolute_budget,all_record_upper_bound,348032,348032,55650,55650,0.22828334208453663,0.2282833420845366,PASS
target_lbw,0.1,C11_topq,cohort_specific_top_fraction,all_record_upper_bound,348032,348032,55650,55650,0.22828334208453663,0.2282833420845366,PASS
