target,feature_set,model,evaluation,nominal_fraction,cell,candidate_set,budget_source,candidate_n,candidate_event_n,full_population_n,full_population_event_n,budget_n,selected_n,true_positive_n,precision,population_event_capture
target_preterm,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,0.05,C00,early_entry,early,2601060,217632,3480382,303001,130053,130053,27434,0.21094476867123405,0.09054095531037851
target_preterm,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,0.05,C10,all_record_upper_bound,early,3480382,303001,3480382,303001,130053,130053,30432,0.23399690895250397,0.10043531209467955
target_preterm,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,0.05,C01,early_entry,all,2601060,217632,3480382,303001,174019,174019,33618,0.1931858015504054,0.11095012887746245
target_preterm,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,0.05,C11,all_record_upper_bound,all,3480382,303001,3480382,303001,174019,174019,37631,0.21624650181876692,0.12419430958973733
target_preterm,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,0.1,C00,early_entry,early,2601060,217632,3480382,303001,260106,260106,44326,0.17041513844355763,0.1462899462378012
target_preterm,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,0.1,C10,all_record_upper_bound,early,3480382,303001,3480382,303001,260106,260106,50061,0.19246384166455213,0.16521727651063858
target_preterm,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,0.1,C01,early_entry,all,2601060,217632,3480382,303001,348038,348038,54216,0.15577609341508686,0.1789301025409157
target_preterm,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,0.1,C11,all_record_upper_bound,all,3480382,303001,3480382,303001,348038,348038,61503,0.17671346232307966,0.20297952812036923
target_nicu,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,0.05,C00,early_entry,early,2597274,214174,3476584,303285,129864,129864,25801,0.19867707755806074,0.08507179715449165
target_nicu,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,0.05,C10,all_record_upper_bound,early,3476584,303285,3476584,303285,129864,129864,28967,0.22305642826341404,0.09551082315313979
target_nicu,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,0.05,C01,early_entry,all,2597274,214174,3476584,303285,173829,173829,31795,0.18290964108405386,0.10483538585818619
target_nicu,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,0.05,C11,all_record_upper_bound,all,3476584,303285,3476584,303285,173829,173829,35854,0.20626017522967974,0.1182188370674448
target_nicu,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,0.1,C00,early_entry,early,2597274,214174,3476584,303285,259727,259727,42252,0.16267850473766685,0.13931450615757457
target_nicu,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,0.1,C10,all_record_upper_bound,early,3476584,303285,3476584,303285,259727,259727,48033,0.18493649100786594,0.15837578515257925
target_nicu,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,0.1,C01,early_entry,all,2597274,214174,3476584,303285,347658,347658,52160,0.15003250320717487,0.17198344791202994
target_nicu,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,0.1,C11,all_record_upper_bound,all,3476584,303285,3476584,303285,347658,347658,59201,0.1702851653061342,0.1951992350429464
target_lbw,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,0.05,C00,early_entry,early,2600093,169152,3480316,243776,130005,130005,23229,0.17867774316372448,0.09528829745339984
target_lbw,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,0.05,C10,all_record_upper_bound,early,3480316,243776,3480316,243776,130005,130005,26224,0.2017153186415907,0.10757416644788659
target_lbw,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,0.05,C01,early_entry,all,2600093,169152,3480316,243776,174016,174016,28918,0.16618012136815005,0.11862529535311105
target_lbw,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,0.05,C11,all_record_upper_bound,all,3480316,243776,3480316,243776,174016,174016,32892,0.1890171018756896,0.134927146232607
target_lbw,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,0.1,C00,early_entry,early,2600093,169152,3480316,243776,260009,260009,39145,0.150552480875662,0.16057774350223156
target_lbw,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,0.1,C10,all_record_upper_bound,early,3480316,243776,3480316,243776,260009,260009,44679,0.17183635951063234,0.18327891178787084
target_lbw,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,0.1,C01,early_entry,all,2600093,169152,3480316,243776,348032,348032,48505,0.1393693683339463,0.1989736479390916
target_lbw,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,0.1,C11,all_record_upper_bound,all,3480316,243776,3480316,243776,348032,348032,55650,0.1598990897388746,0.22828334208453663
