target,feature_set,model,evaluation,replicate,bootstrap_sample_n,bootstrap_event_n,protocol,nominal_fraction,from_scenario,to_scenario,from_selected_n,to_selected_n,delta_selected_n,from_true_positive_n,to_true_positive_n,delta_true_positive_n,from_population_event_capture,to_population_event_capture,delta_population_event_capture
target_preterm,landmark_strict,lightgbm,temporal_test_2023,0,3480382,302645,cohort_specific_top_fraction,0.05,early_entry,any_prenatal_care,130144,167023,36879,27314,34475,7161,0.09025095408812304,0.11391233953972477,0.02366138545160172
target_preterm,landmark_strict,lightgbm,temporal_test_2023,0,3480382,302645,cohort_specific_top_fraction,0.05,any_prenatal_care,all_record_upper_bound,167023,174019,6996,34475,37496,3021,0.11391233953972477,0.12389433164268367,0.0099819921029589
target_preterm,landmark_strict,lightgbm,temporal_test_2023,0,3480382,302645,cohort_specific_top_fraction,0.05,early_entry,all_record_upper_bound,130144,174019,43875,27314,37496,10182,0.09025095408812304,0.12389433164268367,0.03364337755456062
target_preterm,landmark_strict,lightgbm,temporal_test_2023,0,3480382,302645,cohort_specific_top_fraction,0.1,early_entry,any_prenatal_care,260288,334046,73758,43501,54948,11447,0.14373606040079961,0.18155925258966776,0.03782319218886815
target_preterm,landmark_strict,lightgbm,temporal_test_2023,0,3480382,302645,cohort_specific_top_fraction,0.1,any_prenatal_care,all_record_upper_bound,334046,348038,13992,54948,60810,5862,0.18155925258966776,0.2009284805630359,0.019369227973368125
target_preterm,landmark_strict,lightgbm,temporal_test_2023,0,3480382,302645,cohort_specific_top_fraction,0.1,early_entry,all_record_upper_bound,260288,348038,87750,43501,60810,17309,0.14373606040079961,0.2009284805630359,0.057192420162236274
target_preterm,landmark_strict,lightgbm,temporal_test_2023,0,3480382,302645,fixed_absolute_budget,0.05,early_entry,any_prenatal_care,174019,174019,0,33209,35515,2306,0.1097292207041253,0.11734870888334517,0.007619488179219869
target_preterm,landmark_strict,lightgbm,temporal_test_2023,0,3480382,302645,fixed_absolute_budget,0.05,any_prenatal_care,all_record_upper_bound,174019,174019,0,35515,37496,1981,0.11734870888334517,0.12389433164268367,0.006545622759338496
target_preterm,landmark_strict,lightgbm,temporal_test_2023,0,3480382,302645,fixed_absolute_budget,0.05,early_entry,all_record_upper_bound,174019,174019,0,33209,37496,4287,0.1097292207041253,0.12389433164268367,0.014165110938558365
target_preterm,landmark_strict,lightgbm,temporal_test_2023,0,3480382,302645,fixed_absolute_budget,0.1,early_entry,any_prenatal_care,348038,348038,0,53347,56443,3096,0.17626922632126749,0.1864990335211221,0.010229807199854613
target_preterm,landmark_strict,lightgbm,temporal_test_2023,0,3480382,302645,fixed_absolute_budget,0.1,any_prenatal_care,all_record_upper_bound,348038,348038,0,56443,60810,4367,0.1864990335211221,0.2009284805630359,0.01442944704191379
target_preterm,landmark_strict,lightgbm,temporal_test_2023,0,3480382,302645,fixed_absolute_budget,0.1,early_entry,all_record_upper_bound,348038,348038,0,53347,60810,7463,0.17626922632126749,0.2009284805630359,0.024659254241768402
target_preterm,landmark_strict,lightgbm,temporal_test_2023,0,3480382,302645,fixed_calibration_threshold,0.05,early_entry,any_prenatal_care,127039,171090,44051,26843,35064,8221,0.08869467527961804,0.11585851410067902,0.02716383882106098
target_preterm,landmark_strict,lightgbm,temporal_test_2023,0,3480382,302645,fixed_calibration_threshold,0.05,any_prenatal_care,all_record_upper_bound,171090,183270,12180,35064,38936,3872,0.11585851410067902,0.12865238150308117,0.012793867402402154
target_preterm,landmark_strict,lightgbm,temporal_test_2023,0,3480382,302645,fixed_calibration_threshold,0.05,early_entry,all_record_upper_bound,127039,183270,56231,26843,38936,12093,0.08869467527961804,0.12865238150308117,0.03995770622346313
target_preterm,landmark_strict,lightgbm,temporal_test_2023,0,3480382,302645,fixed_calibration_threshold,0.1,early_entry,any_prenatal_care,240710,332716,92006,41273,54798,13525,0.13637429992235128,0.18106362239587637,0.044689322473525084
target_preterm,landmark_strict,lightgbm,temporal_test_2023,0,3480382,302645,fixed_calibration_threshold,0.1,any_prenatal_care,all_record_upper_bound,332716,362986,30270,54798,62650,7852,0.18106362239587637,0.2070082109402105,0.025944588544334124
target_preterm,landmark_strict,lightgbm,temporal_test_2023,0,3480382,302645,fixed_calibration_threshold,0.1,early_entry,all_record_upper_bound,240710,362986,122276,41273,62650,21377,0.13637429992235128,0.2070082109402105,0.07063391101785921
target_preterm,landmark_strict,lightgbm,temporal_test_2023,1,3480382,302000,cohort_specific_top_fraction,0.05,early_entry,any_prenatal_care,129993,167009,37016,27191,34251,7060,0.0900364238410596,0.11341390728476822,0.023377483443708616
target_preterm,landmark_strict,lightgbm,temporal_test_2023,1,3480382,302000,cohort_specific_top_fraction,0.05,any_prenatal_care,all_record_upper_bound,167009,174019,7010,34251,37307,3056,0.11341390728476822,0.12353311258278146,0.010119205298013245
target_preterm,landmark_strict,lightgbm,temporal_test_2023,1,3480382,302000,cohort_specific_top_fraction,0.05,early_entry,all_record_upper_bound,129993,174019,44026,27191,37307,10116,0.0900364238410596,0.12353311258278146,0.03349668874172186
target_preterm,landmark_strict,lightgbm,temporal_test_2023,1,3480382,302000,cohort_specific_top_fraction,0.1,early_entry,any_prenatal_care,259986,334018,74032,43398,54681,11283,0.1437019867549669,0.18106291390728477,0.03736092715231787
target_preterm,landmark_strict,lightgbm,temporal_test_2023,1,3480382,302000,cohort_specific_top_fraction,0.1,any_prenatal_care,all_record_upper_bound,334018,348038,14020,54681,60738,6057,0.18106291390728477,0.20111920529801325,0.02005629139072848
