target,nominal_fraction,cell,canonical_protocol,canonical_scenario,observed_selected_n,canonical_selected_n,observed_true_positive_n,canonical_true_positive_n,observed_population_event_capture,canonical_population_event_capture,status
target_preterm,0.05,C00,cohort_specific_top_fraction,early_entry,130053,130053,27064,27064,0.08931983722825998,0.0893198372282599,PASS
target_preterm,0.05,C01,fixed_absolute_budget,early_entry,174019,174019,32956,32956,0.10876531760621252,0.1087653176062125,PASS
target_preterm,0.05,C11_fixed_budget,fixed_absolute_budget,all_record_upper_bound,174019,174019,37231,37231,0.12287418193339296,0.1228741819333929,PASS
target_preterm,0.05,C11_topq,cohort_specific_top_fraction,all_record_upper_bound,174019,174019,37231,37231,0.12287418193339296,0.1228741819333929,PASS
target_preterm,0.1,C00,cohort_specific_top_fraction,early_entry,260106,260106,43376,43376,0.14315464305398332,0.1431546430539833,PASS
target_preterm,0.1,C01,fixed_absolute_budget,early_entry,348038,348038,53262,53262,0.1757815980805344,0.1757815980805344,PASS
target_preterm,0.1,C11_fixed_budget,fixed_absolute_budget,all_record_upper_bound,348038,348038,60512,60512,0.19970891185177606,0.199708911851776,PASS
target_preterm,0.1,C11_topq,cohort_specific_top_fraction,all_record_upper_bound,348038,348038,60512,60512,0.19970891185177606,0.199708911851776,PASS
target_nicu,0.05,C00,cohort_specific_top_fraction,early_entry,129864,129864,25462,25462,0.08395403663221063,0.0839540366322106,PASS
target_nicu,0.05,C01,fixed_absolute_budget,early_entry,173829,173829,31246,31246,0.10302520731325321,0.1030252073132532,PASS
target_nicu,0.05,C11_fixed_budget,fixed_absolute_budget,all_record_upper_bound,173829,173829,35380,35380,0.11665595067345896,0.1166559506734589,PASS
target_nicu,0.05,C11_topq,cohort_specific_top_fraction,all_record_upper_bound,173829,173829,35380,35380,0.11665595067345896,0.1166559506734589,PASS
target_nicu,0.1,C00,cohort_specific_top_fraction,early_entry,259727,259727,41543,41543,0.13697677102395436,0.1369767710239543,PASS
target_nicu,0.1,C01,fixed_absolute_budget,early_entry,347658,347658,51395,51395,0.16946106797236923,0.1694610679723692,PASS
target_nicu,0.1,C11_fixed_budget,fixed_absolute_budget,all_record_upper_bound,347658,347658,58257,58257,0.19208665116969187,0.1920866511696918,PASS
target_nicu,0.1,C11_topq,cohort_specific_top_fraction,all_record_upper_bound,347658,347658,58257,58257,0.19208665116969187,0.1920866511696918,PASS
target_lbw,0.05,C00,cohort_specific_top_fraction,early_entry,130005,130005,22883,22883,0.09386896166972959,0.0938689616697295,PASS
target_lbw,0.05,C01,fixed_absolute_budget,early_entry,174016,174016,28550,28550,0.117115712785508,0.117115712785508,PASS
target_lbw,0.05,C11_fixed_budget,fixed_absolute_budget,all_record_upper_bound,174016,174016,32572,32572,0.13361446573903912,0.1336144657390391,PASS
target_lbw,0.05,C11_topq,cohort_specific_top_fraction,all_record_upper_bound,174016,174016,32572,32572,0.13361446573903912,0.1336144657390391,PASS
target_lbw,0.1,C00,cohort_specific_top_fraction,early_entry,260009,260009,38748,38748,0.15894919926489892,0.1589491992648989,PASS
target_lbw,0.1,C01,fixed_absolute_budget,early_entry,348032,348032,48037,48037,0.19705385271724862,0.1970538527172486,PASS
target_lbw,0.1,C11_fixed_budget,fixed_absolute_budget,all_record_upper_bound,348032,348032,55163,55163,0.22628560645838802,0.226285606458388,PASS
target_lbw,0.1,C11_topq,cohort_specific_top_fraction,all_record_upper_bound,348032,348032,55163,55163,0.22628560645838802,0.226285606458388,PASS
