target,feature_set,model,evaluation,availability_scenario,protocol,nominal_fraction,budget_n,threshold,threshold_source_year,full_population_n,full_population_event_n,eligible_n,eligible_event_n,selected_n,true_positive_n,selection_rate_among_eligible,precision,recall_among_eligible,population_event_capture,event_availability_ceiling
target_preterm,landmark_strict,lightgbm,temporal_test_2023,early_entry,cohort_specific_top_fraction,0.05,130053,,,3480382,303001,2601060,217632,130053,27064,0.05,0.20809977470723473,0.12435671224819879,0.08931983722825998,0.718255055263844
target_preterm,landmark_strict,lightgbm,temporal_test_2023,any_prenatal_care,cohort_specific_top_fraction,0.05,167018,,,3480382,303001,3340358,275914,167018,34221,0.05000002993691095,0.20489408327246164,0.12402777677102285,0.11294022131940158,0.9106042554315003
target_preterm,landmark_strict,lightgbm,temporal_test_2023,all_record_upper_bound,cohort_specific_top_fraction,0.05,174019,,,3480382,303001,3480382,303001,174019,37231,0.04999997126752179,0.21394790224055993,0.12287418193339296,0.12287418193339296,1.0
target_preterm,landmark_strict,lightgbm,temporal_test_2023,early_entry,fixed_absolute_budget,0.05,174019,,,3480382,303001,2601060,217632,174019,32956,0.06690310873259364,0.18938161924847285,0.15142993677400382,0.10876531760621252,0.718255055263844
target_preterm,landmark_strict,lightgbm,temporal_test_2023,any_prenatal_care,fixed_absolute_budget,0.05,174019,,,3480382,303001,3340358,275914,174019,35218,0.0520959130727904,0.20238019986323333,0.1276412215400451,0.11623063950283992,0.9106042554315003
target_preterm,landmark_strict,lightgbm,temporal_test_2023,all_record_upper_bound,fixed_absolute_budget,0.05,174019,,,3480382,303001,3480382,303001,174019,37231,0.04999997126752179,0.21394790224055993,0.12287418193339296,0.12287418193339296,1.0
target_preterm,landmark_strict,lightgbm,temporal_test_2023,early_entry,fixed_calibration_threshold,0.05,,0.15127517346199312,2022,3480382,303001,2601060,217632,126801,26591,0.048749740490415444,0.2097065480556147,0.12218331862961329,0.08775878627463275,0.718255055263844
target_preterm,landmark_strict,lightgbm,temporal_test_2023,any_prenatal_care,fixed_calibration_threshold,0.05,,0.15127517346199312,2022,3480382,303001,3340358,275914,170795,34746,0.05113074706363809,0.20343686876079511,0.12593054357517197,0.11467288886835357,0.9106042554315003
target_preterm,landmark_strict,lightgbm,temporal_test_2023,all_record_upper_bound,fixed_calibration_threshold,0.05,,0.15127517346199312,2022,3480382,303001,3480382,303001,182921,38565,0.05255773647835209,0.2108287184084933,0.12727680766730143,0.12727680766730143,1.0
target_preterm,landmark_strict,lightgbm,temporal_test_2023,early_entry,cohort_specific_top_fraction,0.1,260106,,,3480382,303001,2601060,217632,260106,43376,0.1,0.1667627813276126,0.199308925158065,0.14315464305398332,0.718255055263844
target_preterm,landmark_strict,lightgbm,temporal_test_2023,any_prenatal_care,cohort_specific_top_fraction,0.1,334036,,,3480382,303001,3340358,275914,334036,54585,0.1000000598738219,0.16341053060149205,0.19783338286567553,0.1801479203038934,0.9106042554315003
target_preterm,landmark_strict,lightgbm,temporal_test_2023,all_record_upper_bound,cohort_specific_top_fraction,0.1,348038,,,3480382,303001,3480382,303001,348038,60512,0.09999994253504357,0.17386607209557578,0.19970891185177606,0.19970891185177606,1.0
target_preterm,landmark_strict,lightgbm,temporal_test_2023,early_entry,fixed_absolute_budget,0.1,348038,,,3480382,303001,2601060,217632,348038,53262,0.13380621746518728,0.15303501341807504,0.24473423026025584,0.1757815980805344,0.718255055263844
target_preterm,landmark_strict,lightgbm,temporal_test_2023,any_prenatal_care,fixed_absolute_budget,0.1,348038,,,3480382,303001,3340358,275914,348038,56162,0.1041918261455808,0.16136743688907534,0.20354893191356727,0.18535252358903107,0.9106042554315003
target_preterm,landmark_strict,lightgbm,temporal_test_2023,all_record_upper_bound,fixed_absolute_budget,0.1,348038,,,3480382,303001,3480382,303001,348038,60512,0.09999994253504357,0.17386607209557578,0.19970891185177606,0.19970891185177606,1.0
target_preterm,landmark_strict,lightgbm,temporal_test_2023,early_entry,fixed_calibration_threshold,0.1,,0.12120037918562798,2022,3480382,303001,2601060,217632,240126,41048,0.0923185162972019,0.17094358794965978,0.1886119688281135,0.1354715000940591,0.718255055263844
target_preterm,landmark_strict,lightgbm,temporal_test_2023,any_prenatal_care,fixed_calibration_threshold,0.1,,0.12120037918562798,2022,3480382,303001,3340358,275914,332072,54380,0.09941209894268818,0.1637596665783324,0.19709039773262682,0.1794713548800169,0.9106042554315003
target_preterm,landmark_strict,lightgbm,temporal_test_2023,all_record_upper_bound,fixed_calibration_threshold,0.1,,0.12120037918562798,2022,3480382,303001,3480382,303001,362203,62216,0.10406989807440678,0.17177107864926575,0.20533265566780307,0.20533265566780307,1.0
target_nicu,landmark_strict,lightgbm,temporal_test_2023,early_entry,cohort_specific_top_fraction,0.05,129864,,,3476584,303285,2597274,214174,129864,25462,0.05000011550571869,0.19606665434608514,0.11888464519502834,0.08395403663221063,0.7061806551593386
target_nicu,landmark_strict,lightgbm,temporal_test_2023,any_prenatal_care,cohort_specific_top_fraction,0.05,166766,,,3476584,303285,3335329,279316,166766,32815,0.04999986508077614,0.19677272345681973,0.11748342379240717,0.10819855911106714,0.9209687257859769
target_nicu,landmark_strict,lightgbm,temporal_test_2023,all_record_upper_bound,cohort_specific_top_fraction,0.05,173829,,,3476584,303285,3476584,303285,173829,35380,0.04999994247226588,0.20353335749500948,0.11665595067345896,0.11665595067345896,1.0
target_nicu,landmark_strict,lightgbm,temporal_test_2023,early_entry,fixed_absolute_budget,0.05,173829,,,3476584,303285,2597274,214174,173829,31246,0.06692747857946447,0.17975136484706233,0.14589072436430192,0.10302520731325321,0.7061806551593386
target_nicu,landmark_strict,lightgbm,temporal_test_2023,any_prenatal_care,fixed_absolute_budget,0.05,173829,,,3476584,303285,3335329,279316,173829,33766,0.052117497254393796,0.19424837052505622,0.1208881696716264,0.11133422358507675,0.9209687257859769
target_nicu,landmark_strict,lightgbm,temporal_test_2023,all_record_upper_bound,fixed_absolute_budget,0.05,173829,,,3476584,303285,3476584,303285,173829,35380,0.04999994247226588,0.20353335749500948,0.11665595067345896,0.11665595067345896,1.0
target_nicu,landmark_strict,lightgbm,temporal_test_2023,early_entry,fixed_calibration_threshold,0.05,,0.14095123245845226,2022,3476584,303285,2597274,214174,131229,25637,0.05052566652574969,0.19536078153456934,0.1197017378393269,0.08453105165108726,0.7061806551593386
target_nicu,landmark_strict,lightgbm,temporal_test_2023,any_prenatal_care,fixed_calibration_threshold,0.05,,0.14095123245845226,2022,3476584,303285,3335329,279316,171334,33431,0.05136944511321072,0.19512180886455693,0.11968881123888356,0.1102296519775129,0.9209687257859769
target_nicu,landmark_strict,lightgbm,temporal_test_2023,all_record_upper_bound,fixed_calibration_threshold,0.05,,0.14095123245845226,2022,3476584,303285,3476584,303285,182648,36618,0.0525366279083146,0.20048399106478035,0.12073791977842624,0.12073791977842624,1.0
target_nicu,landmark_strict,lightgbm,temporal_test_2023,early_entry,cohort_specific_top_fraction,0.1,259727,,,3476584,303285,2597274,214174,259727,41543,0.09999984599237509,0.15994871538192024,0.19396845555482925,0.13697677102395436,0.7061806551593386
target_nicu,landmark_strict,lightgbm,temporal_test_2023,any_prenatal_care,cohort_specific_top_fraction,0.1,333533,,,3476584,303285,3335329,279316,333533,53475,0.10000002998204975,0.16032896295119223,0.19144982743559266,0.17631930362530293,0.9209687257859769
target_nicu,landmark_strict,lightgbm,temporal_test_2023,all_record_upper_bound,cohort_specific_top_fraction,0.1,347658,,,3476584,303285,3476584,303285,347658,58257,0.09999988494453176,0.1675698531315258,0.19208665116969187,0.19208665116969187,1.0
target_nicu,landmark_strict,lightgbm,temporal_test_2023,early_entry,fixed_absolute_budget,0.1,347658,,,3476584,303285,2597274,214174,347658,51395,0.13385495715892895,0.1478320648453365,0.23996843687842595,0.16946106797236923,0.7061806551593386
target_nicu,landmark_strict,lightgbm,temporal_test_2023,any_prenatal_care,fixed_absolute_budget,0.1,347658,,,3476584,303285,3335329,279316,347658,55153,0.10423499450878759,0.15864153852349147,0.19745736012258516,0.18185205334916002,0.9209687257859769
target_nicu,landmark_strict,lightgbm,temporal_test_2023,all_record_upper_bound,fixed_absolute_budget,0.1,347658,,,3476584,303285,3476584,303285,347658,58257,0.09999988494453176,0.1675698531315258,0.19208665116969187,0.19208665116969187,1.0
target_nicu,landmark_strict,lightgbm,temporal_test_2023,early_entry,fixed_calibration_threshold,0.1,,0.11772920412554846,2022,3476584,303285,2597274,214174,250557,40474,0.09646922119114118,0.16153609757460377,0.1889771867733712,0.13345203356578794,0.7061806551593386
target_nicu,landmark_strict,lightgbm,temporal_test_2023,any_prenatal_care,fixed_calibration_threshold,0.1,,0.11772920412554846,2022,3476584,303285,3335329,279316,335492,53725,0.10058737833658989,0.16013794665744638,0.19234487104211717,0.1771436107951267,0.9209687257859769
target_nicu,landmark_strict,lightgbm,temporal_test_2023,all_record_upper_bound,fixed_calibration_threshold,0.1,,0.11772920412554846,2022,3476584,303285,3476584,303285,362634,60078,0.10430756167548375,0.1656711725872367,0.19809090459468817,0.19809090459468817,1.0
target_lbw,landmark_strict,lightgbm,temporal_test_2023,early_entry,cohort_specific_top_fraction,0.05,130005,,,3480316,243776,2600093,169152,130005,22883,0.0500001346105697,0.17601630706511287,0.13528069428679532,0.09386896166972959,0.6938829088999737
target_lbw,landmark_strict,lightgbm,temporal_test_2023,any_prenatal_care,cohort_specific_top_fraction,0.05,166949,,,3480316,243776,3338986,223218,166949,29836,0.04999991015236362,0.1787132597380038,0.1336630558467507,0.12239104751903386,0.9156684825413495
target_lbw,landmark_strict,lightgbm,temporal_test_2023,all_record_upper_bound,cohort_specific_top_fraction,0.05,174016,,,3480316,243776,3480316,243776,174016,32572,0.05000005746604619,0.18717819051121737,0.13361446573903912,0.13361446573903912,1.0
target_lbw,landmark_strict,lightgbm,temporal_test_2023,early_entry,fixed_absolute_budget,0.05,174016,,,3480316,243776,2600093,169152,174016,28550,0.06692683684775891,0.164065373299007,0.16878310631857738,0.117115712785508,0.6938829088999737
