target,feature_set,model,evaluation,nominal_fraction,cell,candidate_set,budget_source,candidate_n,candidate_event_n,full_population_n,full_population_event_n,budget_n,selected_n,true_positive_n,precision,population_event_capture
target_preterm,landmark_no_race_8,lightgbm,temporal_evaluation_cohort_2023,0.1,C00,early_entry,early,2601060,217632,3480382,303001,260106,260106,43192,0.1660553774230506,0.1425473843320649
target_preterm,landmark_no_race_8,lightgbm,temporal_evaluation_cohort_2023,0.1,C10,all_record_upper_bound,early,3480382,303001,3480382,303001,260106,260106,48739,0.1873812983937318,0.16085425460642044
target_preterm,landmark_no_race_8,lightgbm,temporal_evaluation_cohort_2023,0.1,C01,early_entry,all,2601060,217632,3480382,303001,348038,348038,52871,0.15191157287422638,0.17449117329645777
target_preterm,landmark_no_race_8,lightgbm,temporal_evaluation_cohort_2023,0.1,C11,all_record_upper_bound,all,3480382,303001,3480382,303001,348038,348038,59844,0.17194674144777294,0.19750429866568098
target_nicu,landmark_no_race_8,lightgbm,temporal_evaluation_cohort_2023,0.1,C00,early_entry,early,2597274,214174,3476584,303285,259727,259727,41346,0.15919022666107105,0.13632721697413325
target_nicu,landmark_no_race_8,lightgbm,temporal_evaluation_cohort_2023,0.1,C10,all_record_upper_bound,early,3476584,303285,3476584,303285,259727,259727,47140,0.1814982654864531,0.15543135994196877
target_nicu,landmark_no_race_8,lightgbm,temporal_evaluation_cohort_2023,0.1,C01,early_entry,all,2597274,214174,3476584,303285,347658,347658,51045,0.14682532833992026,0.16830703793461596
target_nicu,landmark_no_race_8,lightgbm,temporal_evaluation_cohort_2023,0.1,C11,all_record_upper_bound,all,3476584,303285,3476584,303285,347658,347658,57978,0.1667673403172083,0.19116672436816856
target_lbw,landmark_no_race_8,lightgbm,temporal_evaluation_cohort_2023,0.1,C00,early_entry,early,2600093,169152,3480316,243776,260009,260009,35064,0.13485687033910365,0.14383696508269886
target_lbw,landmark_no_race_8,lightgbm,temporal_evaluation_cohort_2023,0.1,C10,all_record_upper_bound,early,3480316,243776,3480316,243776,260009,260009,40211,0.15465233895749764,0.1649506103964295
target_lbw,landmark_no_race_8,lightgbm,temporal_evaluation_cohort_2023,0.1,C01,early_entry,all,2600093,169152,3480316,243776,348032,348032,43465,0.12488794133872748,0.17829893016539775
target_lbw,landmark_no_race_8,lightgbm,temporal_evaluation_cohort_2023,0.1,C11,all_record_upper_bound,all,3480316,243776,3480316,243776,348032,348032,49947,0.1435126655020228,0.20488891441323182
