target,feature_set,model,evaluation,replicate,bootstrap_sample_n,bootstrap_event_n,protocol,nominal_fraction,from_scenario,to_scenario,from_selected_n,to_selected_n,delta_selected_n,from_true_positive_n,to_true_positive_n,delta_true_positive_n,from_population_event_capture,to_population_event_capture,delta_population_event_capture
target_preterm,landmark_strict,lightgbm,temporal_test_2023,0,3480382,302645,cohort_specific_top_fraction,0.05,early_entry,any_prenatal_care,130144,167023,36879,27550,34856,7306,0.09103074559302153,0.11517124023195494,0.024140494638933405
target_preterm,landmark_strict,lightgbm,temporal_test_2023,0,3480382,302645,cohort_specific_top_fraction,0.05,any_prenatal_care,all_record_upper_bound,167023,174019,6996,34856,37801,2945,0.11517124023195494,0.1249021130367262,0.009730872804771265
target_preterm,landmark_strict,lightgbm,temporal_test_2023,0,3480382,302645,cohort_specific_top_fraction,0.05,early_entry,all_record_upper_bound,130144,174019,43875,27550,37801,10251,0.09103074559302153,0.1249021130367262,0.03387136744370467
target_preterm,landmark_strict,lightgbm,temporal_test_2023,0,3480382,302645,cohort_specific_top_fraction,0.1,early_entry,any_prenatal_care,260288,334046,73758,44399,56031,11632,0.14670323316096417,0.1851377025888417,0.03843446942787754
target_preterm,landmark_strict,lightgbm,temporal_test_2023,0,3480382,302645,cohort_specific_top_fraction,0.1,any_prenatal_care,all_record_upper_bound,334046,348038,13992,56031,61748,5717,0.1851377025888417,0.20402782137487815,0.01889011878603644
target_preterm,landmark_strict,lightgbm,temporal_test_2023,0,3480382,302645,cohort_specific_top_fraction,0.1,early_entry,all_record_upper_bound,260288,348038,87750,44399,61748,17349,0.14670323316096417,0.20402782137487815,0.05732458821391398
target_preterm,landmark_strict,lightgbm,temporal_test_2023,0,3480382,302645,fixed_absolute_budget,0.05,early_entry,any_prenatal_care,174019,174019,0,33786,35809,2023,0.11163574484957624,0.11832014406317633,0.00668439921360009
target_preterm,landmark_strict,lightgbm,temporal_test_2023,0,3480382,302645,fixed_absolute_budget,0.05,any_prenatal_care,all_record_upper_bound,174019,174019,0,35809,37801,1992,0.11832014406317633,0.1249021130367262,0.006581968973549873
target_preterm,landmark_strict,lightgbm,temporal_test_2023,0,3480382,302645,fixed_absolute_budget,0.05,early_entry,all_record_upper_bound,174019,174019,0,33786,37801,4015,0.11163574484957624,0.1249021130367262,0.013266368187149963
target_preterm,landmark_strict,lightgbm,temporal_test_2023,0,3480382,302645,fixed_absolute_budget,0.1,early_entry,any_prenatal_care,348038,348038,0,54277,57614,3337,0.1793421335227742,0.190368253233987,0.011026119711212812
target_preterm,landmark_strict,lightgbm,temporal_test_2023,0,3480382,302645,fixed_absolute_budget,0.1,any_prenatal_care,all_record_upper_bound,348038,348038,0,57614,61748,4134,0.190368253233987,0.20402782137487815,0.013659568140891143
target_preterm,landmark_strict,lightgbm,temporal_test_2023,0,3480382,302645,fixed_absolute_budget,0.1,early_entry,all_record_upper_bound,348038,348038,0,54277,61748,7471,0.1793421335227742,0.20402782137487815,0.024685687852103955
target_preterm,landmark_strict,lightgbm,temporal_test_2023,0,3480382,302645,fixed_calibration_threshold,0.05,early_entry,any_prenatal_care,129693,172803,43110,27490,35650,8160,0.09083249351550496,0.11779477605775744,0.026962282542252483
target_preterm,landmark_strict,lightgbm,temporal_test_2023,0,3480382,302645,fixed_calibration_threshold,0.05,any_prenatal_care,all_record_upper_bound,172803,183989,11186,35650,39309,3659,0.11779477605775744,0.1298848485849758,0.012090072527218346
target_preterm,landmark_strict,lightgbm,temporal_test_2023,0,3480382,302645,fixed_calibration_threshold,0.05,early_entry,all_record_upper_bound,129693,183989,54296,27490,39309,11819,0.09083249351550496,0.1298848485849758,0.03905235506947083
target_preterm,landmark_strict,lightgbm,temporal_test_2023,0,3480382,302645,fixed_calibration_threshold,0.1,early_entry,any_prenatal_care,246105,335687,89582,42747,56192,13445,0.14124469262667483,0.1856696789968445,0.04442498637016967
target_preterm,landmark_strict,lightgbm,temporal_test_2023,0,3480382,302645,fixed_calibration_threshold,0.1,any_prenatal_care,all_record_upper_bound,335687,362841,27154,56192,63479,7287,0.1856696789968445,0.20974739381123098,0.024077714814386475
target_preterm,landmark_strict,lightgbm,temporal_test_2023,0,3480382,302645,fixed_calibration_threshold,0.1,early_entry,all_record_upper_bound,246105,362841,116736,42747,63479,20732,0.14124469262667483,0.20974739381123098,0.06850270118455615
target_preterm,landmark_strict,lightgbm,temporal_test_2023,1,3480382,302000,cohort_specific_top_fraction,0.05,early_entry,any_prenatal_care,129993,167009,37016,27476,34776,7300,0.09098013245033112,0.1151523178807947,0.02417218543046358
target_preterm,landmark_strict,lightgbm,temporal_test_2023,1,3480382,302000,cohort_specific_top_fraction,0.05,any_prenatal_care,all_record_upper_bound,167009,174019,7010,34776,37707,2931,0.1151523178807947,0.12485761589403974,0.009705298013245031
target_preterm,landmark_strict,lightgbm,temporal_test_2023,1,3480382,302000,cohort_specific_top_fraction,0.05,early_entry,all_record_upper_bound,129993,174019,44026,27476,37707,10231,0.09098013245033112,0.12485761589403974,0.03387748344370861
target_preterm,landmark_strict,lightgbm,temporal_test_2023,1,3480382,302000,cohort_specific_top_fraction,0.1,early_entry,any_prenatal_care,259986,334018,74032,44489,55912,11423,0.14731456953642383,0.1851390728476821,0.03782450331125828
target_preterm,landmark_strict,lightgbm,temporal_test_2023,1,3480382,302000,cohort_specific_top_fraction,0.1,any_prenatal_care,all_record_upper_bound,334018,348038,14020,55912,61635,5723,0.1851390728476821,0.20408940397350994,0.018950331125827835
target_preterm,landmark_strict,lightgbm,temporal_test_2023,1,3480382,302000,cohort_specific_top_fraction,0.1,early_entry,all_record_upper_bound,259986,348038,88052,44489,61635,17146,0.14731456953642383,0.20408940397350994,0.056774834437086114
target_preterm,landmark_strict,lightgbm,temporal_test_2023,1,3480382,302000,fixed_absolute_budget,0.05,early_entry,any_prenatal_care,174019,174019,0,33705,35757,2052,0.11160596026490066,0.11840066225165563,0.00679470198675497
target_preterm,landmark_strict,lightgbm,temporal_test_2023,1,3480382,302000,fixed_absolute_budget,0.05,any_prenatal_care,all_record_upper_bound,174019,174019,0,35757,37707,1950,0.11840066225165563,0.12485761589403974,0.006456953642384106
target_preterm,landmark_strict,lightgbm,temporal_test_2023,1,3480382,302000,fixed_absolute_budget,0.05,early_entry,all_record_upper_bound,174019,174019,0,33705,37707,4002,0.11160596026490066,0.12485761589403974,0.013251655629139075
target_preterm,landmark_strict,lightgbm,temporal_test_2023,1,3480382,302000,fixed_absolute_budget,0.1,early_entry,any_prenatal_care,348038,348038,0,54421,57515,3094,0.18020198675496688,0.19044701986754967,0.010245033112582791
target_preterm,landmark_strict,lightgbm,temporal_test_2023,1,3480382,302000,fixed_absolute_budget,0.1,any_prenatal_care,all_record_upper_bound,348038,348038,0,57515,61635,4120,0.19044701986754967,0.20408940397350994,0.013642384105960276
target_preterm,landmark_strict,lightgbm,temporal_test_2023,1,3480382,302000,fixed_absolute_budget,0.1,early_entry,all_record_upper_bound,348038,348038,0,54421,61635,7214,0.18020198675496688,0.20408940397350994,0.023887417218543067
target_preterm,landmark_strict,lightgbm,temporal_test_2023,1,3480382,302000,fixed_calibration_threshold,0.05,early_entry,any_prenatal_care,129228,172428,43200,27364,35541,8177,0.09060927152317881,0.11768543046357616,0.027076158940397346
target_preterm,landmark_strict,lightgbm,temporal_test_2023,1,3480382,302000,fixed_calibration_threshold,0.05,any_prenatal_care,all_record_upper_bound,172428,183554,11126,35541,39159,3618,0.11768543046357616,0.1296655629139073,0.011980132450331138
target_preterm,landmark_strict,lightgbm,temporal_test_2023,1,3480382,302000,fixed_calibration_threshold,0.05,early_entry,all_record_upper_bound,129228,183554,54326,27364,39159,11795,0.09060927152317881,0.1296655629139073,0.039056291390728484
target_preterm,landmark_strict,lightgbm,temporal_test_2023,1,3480382,302000,fixed_calibration_threshold,0.1,early_entry,any_prenatal_care,245271,334777,89506,42810,56011,13201,0.1417549668874172,0.18546688741721853,0.04371192052980133
target_preterm,landmark_strict,lightgbm,temporal_test_2023,1,3480382,302000,fixed_calibration_threshold,0.1,any_prenatal_care,all_record_upper_bound,334777,361917,27140,56011,63359,7348,0.18546688741721853,0.2097980132450331,0.024331125827814576
target_preterm,landmark_strict,lightgbm,temporal_test_2023,1,3480382,302000,fixed_calibration_threshold,0.1,early_entry,all_record_upper_bound,245271,361917,116646,42810,63359,20549,0.1417549668874172,0.2097980132450331,0.0680430463576159
target_preterm,landmark_strict,lightgbm,temporal_test_2023,2,3480382,302460,cohort_specific_top_fraction,0.05,early_entry,any_prenatal_care,130091,167011,36920,27466,34717,7251,0.09080870197712095,0.11478211994974542,0.023973417972624478
target_preterm,landmark_strict,lightgbm,temporal_test_2023,2,3480382,302460,cohort_specific_top_fraction,0.05,any_prenatal_care,all_record_upper_bound,167011,174019,7008,34717,37670,2953,0.11478211994974542,0.12454539443232163,0.009763274482576204
target_preterm,landmark_strict,lightgbm,temporal_test_2023,2,3480382,302460,cohort_specific_top_fraction,0.05,early_entry,all_record_upper_bound,130091,174019,43928,27466,37670,10204,0.09080870197712095,0.12454539443232163,0.03373669245520068
target_preterm,landmark_strict,lightgbm,temporal_test_2023,2,3480382,302460,cohort_specific_top_fraction,0.1,early_entry,any_prenatal_care,260182,334022,73840,44394,55844,11450,0.14677643324737155,0.1846326787013159,0.03785624545394434
target_preterm,landmark_strict,lightgbm,temporal_test_2023,2,3480382,302460,cohort_specific_top_fraction,0.1,any_prenatal_care,all_record_upper_bound,334022,348038,14016,55844,61532,5688,0.1846326787013159,0.20343847120280367,0.018805792501487784
target_preterm,landmark_strict,lightgbm,temporal_test_2023,2,3480382,302460,cohort_specific_top_fraction,0.1,early_entry,all_record_upper_bound,260182,348038,87856,44394,61532,17138,0.14677643324737155,0.20343847120280367,0.05666203795543212
target_preterm,landmark_strict,lightgbm,temporal_test_2023,2,3480382,302460,fixed_absolute_budget,0.05,early_entry,any_prenatal_care,174019,174019,0,33671,35653,1982,0.11132381141307941,0.11787674403226873,0.006552932619189322
target_preterm,landmark_strict,lightgbm,temporal_test_2023,2,3480382,302460,fixed_absolute_budget,0.05,any_prenatal_care,all_record_upper_bound,174019,174019,0,35653,37670,2017,0.11787674403226873,0.12454539443232163,0.006668650400052892
target_preterm,landmark_strict,lightgbm,temporal_test_2023,2,3480382,302460,fixed_absolute_budget,0.05,early_entry,all_record_upper_bound,174019,174019,0,33671,37670,3999,0.11132381141307941,0.12454539443232163,0.013221583019242214
target_preterm,landmark_strict,lightgbm,temporal_test_2023,2,3480382,302460,fixed_absolute_budget,0.1,early_entry,any_prenatal_care,348038,348038,0,54437,57412,2975,0.17998082391059975,0.1898168352840045,0.009836011373404757
target_preterm,landmark_strict,lightgbm,temporal_test_2023,2,3480382,302460,fixed_absolute_budget,0.1,any_prenatal_care,all_record_upper_bound,348038,348038,0,57412,61532,4120,0.1898168352840045,0.20343847120280367,0.013621635918799169
target_preterm,landmark_strict,lightgbm,temporal_test_2023,2,3480382,302460,fixed_absolute_budget,0.1,early_entry,all_record_upper_bound,348038,348038,0,54437,61532,7095,0.17998082391059975,0.20343847120280367,0.023457647292203926
target_preterm,landmark_strict,lightgbm,temporal_test_2023,2,3480382,302460,fixed_calibration_threshold,0.05,early_entry,any_prenatal_care,129749,172332,42583,27425,35443,8018,0.09067314686239503,0.11718243734708722,0.026509290484692194
target_preterm,landmark_strict,lightgbm,temporal_test_2023,2,3480382,302460,fixed_calibration_threshold,0.05,any_prenatal_care,all_record_upper_bound,172332,183513,11181,35443,39115,3672,0.11718243734708722,0.1293228856708325,0.012140448323745279
target_preterm,landmark_strict,lightgbm,temporal_test_2023,2,3480382,302460,fixed_calibration_threshold,0.05,early_entry,all_record_upper_bound,129749,183513,53764,27425,39115,11690,0.09067314686239503,0.1293228856708325,0.03864973880843747
target_preterm,landmark_strict,lightgbm,temporal_test_2023,2,3480382,302460,fixed_calibration_threshold,0.1,early_entry,any_prenatal_care,246279,334834,88555,42824,55951,13127,0.14158566422006216,0.1849864444885274,0.04340078026846525
