target,feature_set,model,evaluation,bootstrap_method,replicates,confidence_level,protocol,nominal_fraction,from_scenario,to_scenario,point_delta_population_event_capture,bootstrap_mean_delta_population_event_capture,bootstrap_se_delta_population_event_capture,ci_lower_delta_population_event_capture,ci_upper_delta_population_event_capture,point_delta_true_positive_n,bootstrap_mean_delta_true_positive_n,ci_lower_delta_true_positive_n,ci_upper_delta_true_positive_n,point_delta_selected_n,bootstrap_mean_delta_selected_n
target_preterm,landmark_strict,lightgbm,temporal_test_2023,paired full-size record-level nonparametric bootstrap,500,0.95,cohort_specific_top_fraction,0.05,any_prenatal_care,all_record_upper_bound,0.00964023221045475,0.009646959180250252,0.00018410118372523193,0.00926856249408662,0.009982097910652441,2921,2922.936,2808.425,3025.0,7001,7002.062
target_preterm,landmark_strict,lightgbm,temporal_test_2023,paired full-size record-level nonparametric bootstrap,500,0.95,cohort_specific_top_fraction,0.05,early_entry,all_record_upper_bound,0.033653354279358824,0.033649285620276054,0.0003281970080974703,0.03300668852440665,0.03426679461446292,10197,10195.418,10003.95,10385.575,43966,43966.05
target_preterm,landmark_strict,lightgbm,temporal_test_2023,paired full-size record-level nonparametric bootstrap,500,0.95,cohort_specific_top_fraction,0.05,early_entry,any_prenatal_care,0.024013122068904075,0.024002326440025798,0.0002625020276444563,0.023516752170326304,0.02454238563273262,7276,7272.482,7120.85,7438.2,36965,36963.988
target_preterm,landmark_strict,lightgbm,temporal_test_2023,paired full-size record-level nonparametric bootstrap,500,0.95,cohort_specific_top_fraction,0.1,any_prenatal_care,all_record_upper_bound,0.018818419741188974,0.018820795801179523,0.00027653644639709276,0.018321111549351128,0.0193726095546436,5702,5702.518,5554.475,5872.0,14002,14004.136
target_preterm,landmark_strict,lightgbm,temporal_test_2023,paired full-size record-level nonparametric bootstrap,500,0.95,cohort_specific_top_fraction,0.1,early_entry,all_record_upper_bound,0.056689581882568035,0.05672466121737198,0.00046795222607461817,0.05580080239058484,0.05765060148779472,17177,17187.032,16905.375,17476.05,87932,87932.058
target_preterm,landmark_strict,lightgbm,temporal_test_2023,paired full-size record-level nonparametric bootstrap,500,0.95,cohort_specific_top_fraction,0.1,early_entry,any_prenatal_care,0.03787116214137906,0.037903865416192443,0.00038032526830099306,0.03718655699689559,0.03866874809709942,11475,11484.514,11259.95,11712.1,73930,73927.922
target_preterm,landmark_strict,lightgbm,temporal_test_2023,paired full-size record-level nonparametric bootstrap,500,0.95,fixed_absolute_budget,0.05,any_prenatal_care,all_record_upper_bound,0.006415820409833628,0.006421713031430968,0.00020654553410988475,0.00602288516758529,0.006824035700021432,1944,1945.716,1822.475,2066.525,0,0.0
target_preterm,landmark_strict,lightgbm,temporal_test_2023,paired full-size record-level nonparametric bootstrap,500,0.95,fixed_absolute_budget,0.05,early_entry,all_record_upper_bound,0.013244180712274886,0.013259256055675264,0.00041723644134415873,0.01239481939116467,0.014038566746011302,4013,4017.444,3753.9,4256.625,0,0.0
target_preterm,landmark_strict,lightgbm,temporal_test_2023,paired full-size record-level nonparametric bootstrap,500,0.95,fixed_absolute_budget,0.05,early_entry,any_prenatal_care,0.006828360302441258,0.0068375430242442956,0.000367524684584777,0.00608198671743919,0.00755529939297175,2069,2071.728,1841.475,2290.05,0,0.0
target_preterm,landmark_strict,lightgbm,temporal_test_2023,paired full-size record-level nonparametric bootstrap,500,0.95,fixed_absolute_budget,0.1,any_prenatal_care,all_record_upper_bound,0.01349830528612117,0.013509260535562973,0.0002960546894074333,0.012926975805662282,0.014116374115267626,4090,4093.176,3913.425,4284.1,0,0.0
target_preterm,landmark_strict,lightgbm,temporal_test_2023,paired full-size record-level nonparametric bootstrap,500,0.95,fixed_absolute_budget,0.1,early_entry,all_record_upper_bound,0.024049425579453526,0.02405764864913393,0.0005715678208252737,0.023002443448153727,0.02511499403034178,7287,7289.244,6963.425,7613.625,0,0.0
target_preterm,landmark_strict,lightgbm,temporal_test_2023,paired full-size record-level nonparametric bootstrap,500,0.95,fixed_absolute_budget,0.1,early_entry,any_prenatal_care,0.010551120293332356,0.010548388113570955,0.0004939521530646092,0.009555161946735617,0.011435807117450927,3197,3196.068,2895.425,3464.525,0,0.0
target_preterm,landmark_strict,lightgbm,temporal_test_2023,paired full-size record-level nonparametric bootstrap,500,0.95,fixed_calibration_threshold,0.05,any_prenatal_care,all_record_upper_bound,0.0119174524176488,0.011919744781292036,0.00020684189889116965,0.011494165560923952,0.01232714376800752,3611,3611.564,3484.475,3737.525,11092,11092.408
target_preterm,landmark_strict,lightgbm,temporal_test_2023,paired full-size record-level nonparametric bootstrap,500,0.95,fixed_calibration_threshold,0.05,early_entry,all_record_upper_bound,0.038782050224256695,0.03879267839959367,0.00035328199676299863,0.038058240580190625,0.039491278737343385,11751,11753.814,11539.9,11957.0,54250,54255.796
target_preterm,landmark_strict,lightgbm,temporal_test_2023,paired full-size record-level nonparametric bootstrap,500,0.95,fixed_calibration_threshold,0.05,early_entry,any_prenatal_care,0.026864597806607896,0.02687293361830163,0.00028184527660591533,0.026347172173657767,0.027465271094869178,8140,8142.25,7980.9,8319.525,43158,43163.388
target_preterm,landmark_strict,lightgbm,temporal_test_2023,paired full-size record-level nonparametric bootstrap,500,0.95,fixed_calibration_threshold,0.1,any_prenatal_care,all_record_upper_bound,0.02393061409038255,0.023924408960047307,0.00027865458592077173,0.02339864865137007,0.024445867939983504,7251,7248.862,7092.0,7410.0,26954,26958.366
target_preterm,landmark_strict,lightgbm,temporal_test_2023,paired full-size record-level nonparametric bootstrap,500,0.95,fixed_calibration_threshold,0.1,early_entry,all_record_upper_bound,0.06775555196187472,0.06776679655419279,0.00048041405705532083,0.0667973639141972,0.06863674942565248,20530,20532.692,20221.65,20817.15,116222,116225.822
