replicate,availability_target_fraction,availability_relation,availability_slope,availability_intercept,model_quality,score_noise_sd,expected_score_latent_correlation,nominal_fraction,protocol,from_scenario,to_scenario,from_eligible_n,to_eligible_n,from_selected_n,to_selected_n,delta_selected_n,from_true_positive_n,to_true_positive_n,delta_true_positive_n,from_population_event_capture,to_population_event_capture,delta_population_event_capture,threshold
1,0.5,higher_risk_less_available,-1.0,0.0,good,0.5,0.8944271909999159,0.05,cohort_specific_top_fraction,available_subset,all_population,50137,100000,2507,5000,2493,537,1674,1137,0.05433572801780836,0.16938176667003946,0.11504603865223109,
1,0.5,higher_risk_less_available,-1.0,0.0,good,0.5,0.8944271909999159,0.05,fixed_absolute_budget,available_subset,all_population,50137,100000,5000,5000,0,899,1674,775,0.09096428210057675,0.16938176667003946,0.07841748456946271,
1,0.5,higher_risk_less_available,-1.0,0.0,good,0.5,0.8944271909999159,0.05,fixed_calibration_threshold,available_subset,all_population,50137,100000,737,4889,4152,191,1640,1449,0.019326115551957908,0.16594151573408883,0.14661540018213093,1.8429586299902603
1,0.5,higher_risk_less_available,-1.0,0.0,good,0.5,0.8944271909999159,0.1,cohort_specific_top_fraction,available_subset,all_population,50137,100000,5014,10000,4986,902,2852,1950,0.09126783365374887,0.2885763432156228,0.19730850956187396,
1,0.5,higher_risk_less_available,-1.0,0.0,good,0.5,0.8944271909999159,0.1,fixed_absolute_budget,available_subset,all_population,50137,100000,10000,10000,0,1481,2852,1371,0.14985328341596682,0.2885763432156228,0.138723059799656,
1,0.5,higher_risk_less_available,-1.0,0.0,good,0.5,0.8944271909999159,0.1,fixed_calibration_threshold,available_subset,all_population,50137,100000,1868,9793,7925,422,2807,2385,0.04269958514621067,0.2840230699180411,0.24132348477183044,1.4386365686630094
1,0.5,higher_risk_less_available,-1.0,0.0,good,0.5,0.8944271909999159,0.2,cohort_specific_top_fraction,available_subset,all_population,50137,100000,10027,20000,9973,1488,4537,3049,0.1505615703733684,0.45907113224729335,0.308509561873925,
1,0.5,higher_risk_less_available,-1.0,0.0,good,0.5,0.8944271909999159,0.2,fixed_absolute_budget,available_subset,all_population,50137,100000,20000,20000,0,2220,4537,2317,0.22462814934736416,0.45907113224729335,0.23444298289992918,
1,0.5,higher_risk_less_available,-1.0,0.0,good,0.5,0.8944271909999159,0.2,fixed_calibration_threshold,available_subset,all_population,50137,100000,4832,20058,15226,875,4544,3669,0.08853586967519984,0.45977941920469495,0.3712435495294951,0.935991560680596
1,0.5,risk_independent,0.0,0.0,good,0.5,0.8944271909999159,0.05,cohort_specific_top_fraction,available_subset,all_population,50069,100000,2503,5000,2497,819,1674,855,0.08286957401598705,0.16938176667003946,0.08651219265405241,
1,0.5,risk_independent,0.0,0.0,good,0.5,0.8944271909999159,0.05,fixed_absolute_budget,available_subset,all_population,50069,100000,5000,5000,0,1400,1674,274,0.14165739148031975,0.16938176667003946,0.027724375189719708,
1,0.5,risk_independent,0.0,0.0,good,0.5,0.8944271909999159,0.05,fixed_calibration_threshold,available_subset,all_population,50069,100000,2520,4889,2369,826,1640,814,0.08357786097338865,0.16594151573408883,0.08236365476070018,1.8429586299902603
1,0.5,risk_independent,0.0,0.0,good,0.5,0.8944271909999159,0.1,cohort_specific_top_fraction,available_subset,all_population,50069,100000,5007,10000,4993,1402,2852,1450,0.1418597591824345,0.2885763432156228,0.14671658403318832,
1,0.5,risk_independent,0.0,0.0,good,0.5,0.8944271909999159,0.1,fixed_absolute_budget,available_subset,all_population,50069,100000,10000,10000,0,2283,2852,569,0.23100273196397855,0.2885763432156228,0.05757361125164426,
1,0.5,risk_independent,0.0,0.0,good,0.5,0.8944271909999159,0.1,fixed_calibration_threshold,available_subset,all_population,50069,100000,4957,9793,4836,1391,2807,1416,0.1407467368208034,0.2840230699180411,0.1432763330972377,1.4386365686630094
1,0.5,risk_independent,0.0,0.0,good,0.5,0.8944271909999159,0.2,cohort_specific_top_fraction,available_subset,all_population,50069,100000,10014,20000,9986,2286,4537,2251,0.23130628351715066,0.45907113224729335,0.2277648487301427,
1,0.5,risk_independent,0.0,0.0,good,0.5,0.8944271909999159,0.2,fixed_absolute_budget,available_subset,all_population,50069,100000,20000,20000,0,3474,4537,1063,0.3515126985733077,0.45907113224729335,0.10755843367398565,
1,0.5,risk_independent,0.0,0.0,good,0.5,0.8944271909999159,0.2,fixed_calibration_threshold,available_subset,all_population,50069,100000,10089,20058,9969,2296,4544,2248,0.23231812202772437,0.45977941920469495,0.22746129717697058,0.935991560680596
1,0.5,higher_risk_more_available,1.0,0.0,good,0.5,0.8944271909999159,0.05,cohort_specific_top_fraction,available_subset,all_population,49919,100000,2496,5000,2504,961,1674,713,0.09723768086613377,0.16938176667003946,0.07214408580390569,
1,0.5,higher_risk_more_available,1.0,0.0,good,0.5,0.8944271909999159,0.05,fixed_absolute_budget,available_subset,all_population,49919,100000,5000,5000,0,1649,1674,25,0.16685217039360517,0.16938176667003946,0.002529596276434287,
1,0.5,higher_risk_more_available,1.0,0.0,good,0.5,0.8944271909999159,0.05,fixed_calibration_threshold,available_subset,all_population,49919,100000,4174,4889,715,1430,1640,210,0.14469290701204088,0.16594151573408883,0.02124860872204795,1.8429586299902603
1,0.5,higher_risk_more_available,1.0,0.0,good,0.5,0.8944271909999159,0.1,cohort_specific_top_fraction,available_subset,all_population,49919,100000,4992,10000,5008,1645,2852,1207,0.1664474349893757,0.2885763432156228,0.12212890822624711,
1,0.5,higher_risk_more_available,1.0,0.0,good,0.5,0.8944271909999159,0.1,fixed_absolute_budget,available_subset,all_population,49919,100000,10000,10000,0,2749,2852,103,0.27815440655671353,0.2885763432156228,0.010421936658909281,
1,0.5,higher_risk_more_available,1.0,0.0,good,0.5,0.8944271909999159,0.1,fixed_calibration_threshold,available_subset,all_population,49919,100000,7949,9793,1844,2356,2807,451,0.23838915309116665,0.2840230699180411,0.045633916826874454,1.4386365686630094
1,0.5,higher_risk_more_available,1.0,0.0,good,0.5,0.8944271909999159,0.2,cohort_specific_top_fraction,available_subset,all_population,49919,100000,9984,20000,10016,2746,4537,1791,0.27785085500354145,0.45907113224729335,0.1812202772437519,
1,0.5,higher_risk_more_available,1.0,0.0,good,0.5,0.8944271909999159,0.2,fixed_absolute_budget,available_subset,all_population,49919,100000,20000,20000,0,4311,4537,226,0.4362035819083274,0.45907113224729335,0.022867550338965925,
1,0.5,higher_risk_more_available,1.0,0.0,good,0.5,0.8944271909999159,0.2,fixed_calibration_threshold,available_subset,all_population,49919,100000,15211,20058,4847,3647,4544,897,0.3690175048062329,0.45977941920469495,0.09076191439846204,0.935991560680596
1,0.7,higher_risk_less_available,-1.0,1.0184006519909872,good,0.5,0.8944271909999159,0.05,cohort_specific_top_fraction,available_subset,all_population,70255,100000,3513,5000,1487,868,1674,806,0.08782758271779824,0.16938176667003946,0.08155418395224122,
1,0.7,higher_risk_less_available,-1.0,1.0184006519909872,good,0.5,0.8944271909999159,0.05,fixed_absolute_budget,available_subset,all_population,70255,100000,5000,5000,0,1139,1674,535,0.11524840635434584,0.16938176667003946,0.054133360315693616,
1,0.7,higher_risk_less_available,-1.0,1.0184006519909872,good,0.5,0.8944271909999159,0.05,fixed_calibration_threshold,available_subset,all_population,70255,100000,1589,4889,3300,459,1640,1181,0.0464433876353334,0.16594151573408883,0.11949812809875543,1.8429586299902603
1,0.7,higher_risk_less_available,-1.0,1.0184006519909872,good,0.5,0.8944271909999159,0.1,cohort_specific_top_fraction,available_subset,all_population,70255,100000,7026,10000,2974,1480,2852,1372,0.14975209956490945,0.2885763432156228,0.13882424365071336,
1,0.7,higher_risk_less_available,-1.0,1.0184006519909872,good,0.5,0.8944271909999159,0.1,fixed_absolute_budget,available_subset,all_population,70255,100000,10000,10000,0,1898,2852,954,0.19204694930689062,0.2885763432156228,0.09652939390873219,
1,0.7,higher_risk_less_available,-1.0,1.0184006519909872,good,0.5,0.8944271909999159,0.1,fixed_calibration_threshold,available_subset,all_population,70255,100000,3729,9793,6064,915,2807,1892,0.09258322371749468,0.2840230699180411,0.19143984620054644,1.4386365686630094
1,0.7,higher_risk_less_available,-1.0,1.0184006519909872,good,0.5,0.8944271909999159,0.2,cohort_specific_top_fraction,available_subset,all_population,70255,100000,14051,20000,5949,2395,4537,2142,0.24233532328240412,0.45907113224729335,0.21673580896488923,
