replicate,availability_target_fraction,availability_relation,availability_slope,availability_intercept,model_quality,score_noise_sd,expected_score_latent_correlation,nominal_fraction,protocol,scenario,threshold,calibration_target_selected_n,full_population_n,full_population_event_n,eligible_n,eligible_event_n,eligible_fraction,selected_n,true_positive_n,precision,recall_among_eligible,population_event_capture,event_availability_ceiling
1,0.5,higher_risk_less_available,-1.0,0.0,good,0.5,0.8944271909999159,0.05,cohort_specific_top_fraction,available_subset,,,100000,9883,50137,3277,0.50137,2507,537,0.21420023932987634,0.1638693927372597,0.05433572801780836,0.3315794799150056
1,0.5,higher_risk_less_available,-1.0,0.0,good,0.5,0.8944271909999159,0.05,cohort_specific_top_fraction,all_population,,,100000,9883,100000,9883,1.0,5000,1674,0.3348,0.16938176667003946,0.16938176667003946,1.0
1,0.5,higher_risk_less_available,-1.0,0.0,good,0.5,0.8944271909999159,0.05,fixed_absolute_budget,available_subset,,,100000,9883,50137,3277,0.50137,5000,899,0.1798,0.2743362831858407,0.09096428210057675,0.3315794799150056
1,0.5,higher_risk_less_available,-1.0,0.0,good,0.5,0.8944271909999159,0.05,fixed_absolute_budget,all_population,,,100000,9883,100000,9883,1.0,5000,1674,0.3348,0.16938176667003946,0.16938176667003946,1.0
1,0.5,higher_risk_less_available,-1.0,0.0,good,0.5,0.8944271909999159,0.05,fixed_calibration_threshold,available_subset,1.8429586299902603,2500.0,100000,9883,50137,3277,0.50137,737,191,0.2591587516960651,0.058285016783643576,0.019326115551957908,0.3315794799150056
1,0.5,higher_risk_less_available,-1.0,0.0,good,0.5,0.8944271909999159,0.05,fixed_calibration_threshold,all_population,1.8429586299902603,2500.0,100000,9883,100000,9883,1.0,4889,1640,0.33544692166087137,0.16594151573408883,0.16594151573408883,1.0
1,0.5,higher_risk_less_available,-1.0,0.0,good,0.5,0.8944271909999159,0.1,cohort_specific_top_fraction,available_subset,,,100000,9883,50137,3277,0.50137,5014,902,0.17989629038691662,0.27525175465364665,0.09126783365374887,0.3315794799150056
1,0.5,higher_risk_less_available,-1.0,0.0,good,0.5,0.8944271909999159,0.1,cohort_specific_top_fraction,all_population,,,100000,9883,100000,9883,1.0,10000,2852,0.2852,0.2885763432156228,0.2885763432156228,1.0
1,0.5,higher_risk_less_available,-1.0,0.0,good,0.5,0.8944271909999159,0.1,fixed_absolute_budget,available_subset,,,100000,9883,50137,3277,0.50137,10000,1481,0.1481,0.4519377479401892,0.14985328341596682,0.3315794799150056
1,0.5,higher_risk_less_available,-1.0,0.0,good,0.5,0.8944271909999159,0.1,fixed_absolute_budget,all_population,,,100000,9883,100000,9883,1.0,10000,2852,0.2852,0.2885763432156228,0.2885763432156228,1.0
1,0.5,higher_risk_less_available,-1.0,0.0,good,0.5,0.8944271909999159,0.1,fixed_calibration_threshold,available_subset,1.4386365686630094,5000.0,100000,9883,50137,3277,0.50137,1868,422,0.2259100642398287,0.12877631980469942,0.04269958514621067,0.3315794799150056
1,0.5,higher_risk_less_available,-1.0,0.0,good,0.5,0.8944271909999159,0.1,fixed_calibration_threshold,all_population,1.4386365686630094,5000.0,100000,9883,100000,9883,1.0,9793,2807,0.28663330950679056,0.2840230699180411,0.2840230699180411,1.0
