condition_id,availability_target_fraction,availability_relation,model_quality,score_noise_sd,expected_score_latent_correlation,nominal_fraction,mean_naive_top_fraction_effect,q025_naive_top_fraction_effect,q975_naive_top_fraction_effect,mean_availability_effect_at_all_budget,q025_availability_effect_at_all_budget,q975_availability_effect_at_all_budget,mean_availability_main_effect,q025_availability_main_effect,q975_availability_main_effect,mean_capacity_main_effect,q025_capacity_main_effect,q975_capacity_main_effect,mean_shapley_availability_effect,q025_shapley_availability_effect,q975_shapley_availability_effect,mean_shapley_capacity_effect,q025_shapley_capacity_effect,q975_shapley_capacity_effect,mean_interaction_effect,q025_interaction_effect,q975_interaction_effect,mean_distortion_top_fraction_minus_fixed_budget,q025_distortion_top_fraction_minus_fixed_budget,q975_distortion_top_fraction_minus_fixed_budget,naive_fixed_budget_sign_reversal,sign_reversal_replicate_fraction,fixed_budget_interval_below_zero,fixed_budget_interval_above_zero,shapley_availability_interval_below_zero,shapley_capacity_interval_below_zero,interaction_interval_below_zero,interaction_interval_above_zero,max_abs_interaction_replicate
13,0.5,higher_risk_more_available,medium,1.0,0.7071067811865475,0.05,0.057251644293637625,0.053940402300575896,0.06084244476444195,-0.0028917157109228596,-0.00601342005270831,0.00041521794219172823,-0.0019101189026501672,-0.004601620316878854,0.0005087385188317962,0.060143360004560484,0.057090688634822265,0.06334844879889459,-0.0024009173067865135,-0.004682957426254805,-0.00034398061693585475,0.05965256160042414,0.056436198537803704,0.06261980760560719,-0.0009815968082726922,-0.0041210908672942356,0.0028207359438766947,0.060143360004560484,0.057090688634822265,0.06334844879889459,True,0.95,False,False,True,False,False,False,0.0057017105131539625
14,0.5,higher_risk_more_available,medium,1.0,0.7071067811865475,0.1,0.09609501743764737,0.09164722074904665,0.10198293933853088,-0.0040634329787518405,-0.00912137374431303,0.0009605163853796448,-0.002912896622385873,-0.005879269342975561,0.00041521794219172823,0.10015845041639922,0.09445313725001721,0.10646571088388077,-0.003488164800568857,-0.007231297333817391,-0.0005483447833197379,0.09958318223821624,0.09433228770471488,0.1045788839098475,-0.001150536356365967,-0.0061635625027022245,0.0038215498615016834,0.10015845041639922,0.09445313725001721,0.10646571088388077,True,0.95,False,False,True,False,False,False,0.00688747088017827
16,0.5,higher_risk_more_available,weak,2.0,0.4472135954999579,0.05,0.03922600322477315,0.035965943555495795,0.042662008990348325,-0.009744279554426914,-0.013268337656512386,-0.005616286555740893,-0.005158433655894561,-0.007712421042586744,-0.002461504112194663,0.04897028277920007,0.046034060624591346,0.05192491881383219,-0.0074513566051607385,-0.009953007305424139,-0.0049090476655977485,0.04667735982993389,0.0436929916382845,0.04907937845146993,-0.004585845898532352,-0.00817704807175643,-0.0007556998696413677,0.04897028277920007,0.046034060624591346,0.05192491881383219,True,1.0,True,False,True,False,True,False,0.009090909090909087
17,0.5,higher_risk_more_available,weak,2.0,0.4472135954999579,0.1,0.06991484965354691,0.06564498022217433,0.07532227706574954,-0.01764638295142975,-0.023013356928553497,-0.012195740928615233,-0.009739185050034821,-0.013103998175488886,-0.0058157413809964385,0.08756123260497667,0.0832399885468901,0.09277240248758585,-0.013692784000732287,-0.017289277874146688,-0.009893812964198705,0.0836076336542792,0.08000986005816231,0.08794534524639583,-0.00790719790139493,-0.013025769989368342,-0.0021693651545397104,0.08756123260497667,0.0832399885468901,0.09277240248758585,True,1.0,True,False,True,False,True,False,0.015646662705486244
18,0.5,higher_risk_more_available,weak,2.0,0.4472135954999579,0.2,0.1203684476548295,0.11621512754520588,0.12635909156752378,-0.030449284583418078,-0.03735179670154609,-0.022844813860869142,-0.01766118904605545,-0.022886470094706464,-0.012295783846090556,0.15081773223824757,0.14421531088214043,0.1580689585914074,-0.024055236814736758,-0.028246794470610355,-0.01894413942521374,0.14442368446956622,0.14007453691180669,0.15038467360809274,-0.012788095537362633,-0.02032887024471877,-0.003569951275457125,0.15081773223824757,0.14421531088214043,0.1580689585914074,True,1.0,True,False,True,False,True,False,0.021575613618368933
41,0.7,higher_risk_more_available,medium,1.0,0.7071067811865475,0.1,0.055229188155677796,0.05102951819177381,0.059281512057625795,-0.002780576452209225,-0.006264996049222732,0.0004076783996545809,-0.0020977138683342094,-0.004883529267049213,0.00019997757890454352,0.058009764607887024,0.05393231856977858,0.06269783729530036,-0.0024391451602717167,-0.00493095536853499,-7.469380065458506e-05,0.05766833331594952,0.05398318556423538,0.061384454915379354,-0.0006828625838750152,-0.005045732362728675,0.0030905147068742422,0.058009764607887024,0.05393231856977858,0.06269783729530036,True,0.93,False,False,True,False,False,False,0.005807086614173201
43,0.7,higher_risk_more_available,weak,2.0,0.4472135954999579,0.05,0.022498195433498798,0.020221012966483033,0.025233803210575674,-0.0049462983245762565,-0.007472668404675802,-0.002765542111967584,-0.0034630852148892412,-0.0061253568683003355,-0.0010030639775258532,0.027444493758075058,0.024909833629151296,0.030158687820367517,-0.004204691769732749,-0.006222226212548432,-0.0022742100359259038,0.02670288720323155,0.024387139539191822,0.02895157575626927,-0.0014832131096870155,-0.004754298546617277,0.0018046090183943318,0.027444493758075058,0.024909833629151296,0.030158687820367517,True,1.0,True,False,True,False,False,False,0.005794205794205795
44,0.7,higher_risk_more_available,weak,2.0,0.4472135954999579,0.1,0.0395802712726957,0.03594431576025223,0.042955839370264946,-0.009687910745679866,-0.012900253426205485,-0.005483892094779423,-0.006992191861780867,-0.010053942554192083,-0.004194559771953933,0.04926818201837557,0.04574927506622943,0.0530313750770423,-0.008340051303730368,-0.01069613009156222,-0.005395934076629268,0.047920322576426075,0.04498767513138386,0.05138117251959035,-0.002695718883898999,-0.006488345747088143,0.0018386237169778965,0.04926818201837557,0.04574927506622943,0.0530313750770423,True,1.0,True,False,True,False,False,False,0.008288688972000385
45,0.7,higher_risk_more_available,weak,2.0,0.4472135954999579,0.2,0.06709140086496282,0.06388603659675934,0.0704361209525369,-0.017413078491670984,-0.023187725533269057,-0.012008934502457845,-0.012782927895820848,-0.01763444452191782,-0.00845654593056443,0.0845044793566338,0.0786961698650661,0.08998607641757508,-0.015098003193745914,-0.019473035079952322,-0.011493775606681363,0.08218940405870874,0.07765080936657862,0.0863815772499327,-0.004630150595850135,-0.011530932418660897,0.001405882296731424,0.0845044793566338,0.0786961698650661,0.08998607641757508,True,1.0,True,False,True,False,False,False,0.013153900637458305
70,0.9,higher_risk_more_available,weak,2.0,0.4472135954999579,0.05,0.007308140905209957,0.005853335173838485,0.008726261260244148,-0.0014525198917617749,-0.0028231711264442945,-9.969366507730296e-05,-0.0012082951758976802,-0.002674018787573346,-4.786376461104937e-05,0.008760660796971732,0.007350667500855196,0.010060035019300891,-0.0013304075338297272,-0.0025557831555021535,-0.0002691357544776594,0.008638548439039684,0.00731112839950446,0.009781513329345895,-0.0002442247158640945,-0.0015554453433281237,0.0013083000026248054,0.008760660796971732,0.007350667500855196,0.010060035019300891,True,0.99,True,False,True,False,False,False,0.0018774703557312283
