availability_target_fraction,availability_relation,availability_slope,model_quality,score_noise_sd,expected_score_latent_correlation,nominal_fraction,protocol,mean_delta_population_event_capture,sd_delta_population_event_capture,q025_delta_population_event_capture,q975_delta_population_event_capture,mean_delta_selected_n,sd_delta_selected_n,q025_delta_selected_n,q975_delta_selected_n,mean_delta_true_positive_n,sd_delta_true_positive_n,q025_delta_true_positive_n,q975_delta_true_positive_n,replicates
0.5,higher_risk_less_available,-1.0,good,0.5,0.8944271909999159,0.05,cohort_specific_top_fraction,0.11360792908124098,0.003407510688498994,0.1074931337155359,0.11965221156089419,2498.77,8.187024718258382,2484.0,2512.525,1134.18,34.698522659437174,1071.375,1198.35,100
0.5,higher_risk_less_available,-1.0,good,0.5,0.8944271909999159,0.05,fixed_absolute_budget,0.07695048817381835,0.0038237615908102594,0.06947734642543384,0.08352702252664465,0.0,0.0,0.0,0.0,768.21,38.29716211761161,690.95,830.0999999999999,100
0.5,higher_risk_less_available,-1.0,good,0.5,0.8944271909999159,0.05,fixed_calibration_threshold,0.1472338212799446,0.003616168011780402,0.13954463455048863,0.15353695748097768,4251.41,90.885552962909,4064.775,4418.675,1469.94,39.54330703561769,1382.275,1544.675,100
0.5,higher_risk_less_available,-1.0,good,0.5,0.8944271909999159,0.1,cohort_specific_top_fraction,0.19108384633647046,0.004315133625794309,0.18372983649218136,0.19862240172850376,4997.55,16.314692516844808,4967.475,5025.05,1907.63,43.92915669667252,1823.275,1991.625,100
0.5,higher_risk_less_available,-1.0,good,0.5,0.8944271909999159,0.1,fixed_absolute_budget,0.13544864259769474,0.005043101267469587,0.12592852981786226,0.14404790062547826,0.0,0.0,0.0,0.0,1352.21,50.62085149481986,1247.65,1434.4999999999998,100
0.5,higher_risk_less_available,-1.0,good,0.5,0.8944271909999159,0.1,fixed_calibration_threshold,0.2390025223285417,0.005069962044102207,0.2292369695194162,0.24768135741364536,8138.96,131.78248990842692,7877.675,8351.775,2386.11,56.07262516530943,2272.375,2486.05,100
0.5,higher_risk_less_available,-1.0,good,0.5,0.8944271909999159,0.2,cohort_specific_top_fraction,0.3086277434344095,0.0057219601596579595,0.2995850523218663,0.3204201646574625,9995.07,32.57384927461992,9935.425,10050.05,3081.19,63.566348857478886,2960.7,3222.6749999999997,100
0.5,higher_risk_less_available,-1.0,good,0.5,0.8944271909999159,0.2,fixed_absolute_budget,0.23040908117380038,0.00670834797630649,0.21902361126654524,0.2444900989093783,0.0,0.0,0.0,0.0,2300.29,69.99297150861693,2171.225,2435.7,100
0.5,higher_risk_less_available,-1.0,good,0.5,0.8944271909999159,0.2,fixed_calibration_threshold,0.3674350060034273,0.005456092353748973,0.3574715211225377,0.37791139962422177,15227.23,144.74197558051188,14970.5,15515.0,3668.3,64.1610190352083,3539.85,3794.35,100
0.5,higher_risk_less_available,-1.0,medium,1.0,0.7071067811865475,0.05,cohort_specific_top_fraction,0.09231603361887589,0.0027932467241262304,0.08767899390815757,0.09723900386116098,2498.77,8.187024718258382,2484.0,2512.525,921.6,27.83428595720527,867.85,971.05,100
