replicate,availability_target_fraction,availability_relation,availability_slope,availability_intercept,model_quality,score_noise_sd,expected_score_latent_correlation,nominal_fraction,realized_available_n,realized_available_fraction,available_event_n,full_population_event_n,event_availability_ceiling,budget_available_top_fraction,budget_all_top_fraction,c00_capture,c10_capture,c01_capture,c11_capture,naive_top_fraction_effect,availability_effect_at_all_budget,capacity_effect_within_available_subset,availability_main_effect,capacity_main_effect,distortion_top_fraction_minus_fixed_budget,shapley_availability_effect,shapley_capacity_effect,interaction_effect,total_four_cell_effect,identity_error,factorial_identity_error,shapley_identity_error,naive_delta_true_positive_n,availability_delta_true_positive_n,capacity_delta_true_positive_n,availability_main_delta_true_positive_n,capacity_main_delta_true_positive_n,tp_interaction_n,tp_factorial_identity_error,tp_identity_error
1,0.5,higher_risk_less_available,-1.0,0.0,good,0.5,0.8944271909999159,0.05,50137,0.50137,3277,9883,0.3315794799150056,2507,5000,0.05433572801780836,0.09764241627036326,0.09096428210057675,0.16938176667003946,0.11504603865223109,0.07841748456946271,0.03662855408276839,0.0433066882525549,0.03662855408276839,0.03662855408276838,0.060862086411008806,0.0541839522412223,0.03511079631690781,0.11504603865223109,-6.938893903907228e-18,-1.3877787807814457e-17,-1.3877787807814457e-17,1137,775,362,428,362,347,0,0
1,0.5,higher_risk_less_available,-1.0,0.0,good,0.5,0.8944271909999159,0.1,50137,0.50137,3277,9883,0.3315794799150056,5014,10000,0.09126783365374887,0.16978650207426896,0.14985328341596682,0.2885763432156228,0.19730850956187396,0.138723059799656,0.05858544976221795,0.07851866842052009,0.05858544976221795,0.05858544976221797,0.10862086411008803,0.0886876454517859,0.0602043913791359,0.19730850956187396,1.3877787807814457e-17,1.3877787807814457e-17,2.7755575615628914e-17,1950,1371,579,776,579,595,0,0
1,0.5,higher_risk_less_available,-1.0,0.0,good,0.5,0.8944271909999159,0.2,50137,0.50137,3277,9883,0.3315794799150056,10027,20000,0.1505615703733684,0.2888798947687949,0.22462814934736416,0.45907113224729335,0.308509561873925,0.23444298289992918,0.07406657897399577,0.1383183243954265,0.07406657897399577,0.0740665789739958,0.18638065364767784,0.12212890822624711,0.09612465850450269,0.308509561873925,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,3049,2317,732,1367,732,950,0,0
1,0.5,risk_independent,0.0,0.0,good,0.5,0.8944271909999159,0.05,50069,0.50069,4972,9883,0.5030861074572498,2503,5000,0.08286957401598705,0.09764241627036326,0.14165739148031975,0.16938176667003946,0.08651219265405241,0.027724375189719708,0.0587878174643327,0.014772842254376209,0.0587878174643327,0.0587878174643327,0.02124860872204796,0.06526358393200446,0.012951532935343499,0.08651219265405241,0.0,0.0,0.0,855,274,581,146,581,128,0,0
1,0.5,risk_independent,0.0,0.0,good,0.5,0.8944271909999159,0.1,50069,0.50069,4972,9883,0.5030861074572498,5007,10000,0.1418597591824345,0.16968531822321156,0.23100273196397855,0.2885763432156228,0.14671658403318832,0.05757361125164426,0.08914297278154407,0.027825559040777076,0.08914297278154407,0.08914297278154407,0.04269958514621067,0.10401699888697766,0.029748052210867182,0.14671658403318832,0.0,0.0,0.0,1450,569,881,275,881,294,0,0
1,0.5,risk_independent,0.0,0.0,good,0.5,0.8944271909999159,0.2,50069,0.50069,4972,9883,0.5030861074572498,10014,20000,0.23130628351715066,0.28877871091773755,0.3515126985733077,0.45907113224729335,0.2277648487301427,0.10755843367398565,0.12020641505615703,0.05747242740058689,0.12020641505615703,0.12020641505615703,0.08251543053728627,0.14524941819285642,0.050086006273398764,0.2277648487301427,0.0,0.0,0.0,2251,1063,1188,568,1188,495,0,0
1,0.5,higher_risk_more_available,1.0,0.0,good,0.5,0.8944271909999159,0.05,49919,0.49919,6573,9883,0.6650814530001011,2496,5000,0.09723768086613377,0.09703531316401902,0.16685217039360517,0.16938176667003946,0.07214408580390569,0.002529596276434287,0.0696144895274714,-0.0002023677021147502,0.0696144895274714,0.0696144895274714,0.0011636142871597685,0.07098047151674591,0.0027319639785490374,0.07214408580390569,0.0,0.0,0.0,713,25,688,-2,688,27,0,0
1,0.5,higher_risk_more_available,1.0,0.0,good,0.5,0.8944271909999159,0.1,49919,0.49919,6573,9883,0.6650814530001011,4992,10000,0.1664474349893757,0.16867347971263785,0.27815440655671353,0.2885763432156228,0.12212890822624711,0.010421936658909281,0.11170697156733783,0.002226044723262155,0.11170697156733783,0.11170697156733783,0.006323990691085718,0.1158049175351614,0.008195891935647126,0.12212890822624711,0.0,0.0,0.0,1207,103,1104,22,1104,81,0,0
1,0.5,higher_risk_more_available,1.0,0.0,good,0.5,0.8944271909999159,0.2,49919,0.49919,6573,9883,0.6650814530001011,9984,20000,0.27785085500354145,0.2881716078113933,0.4362035819083274,0.45907113224729335,0.1812202772437519,0.022867550338965925,0.15835272690478597,0.01032075280785183,0.15835272690478597,0.15835272690478597,0.016594151573408877,0.16462612567034302,0.012546797531114096,0.1812202772437519,0.0,0.0,0.0,1791,226,1565,102,1565,124,0,0
1,0.7,higher_risk_less_available,-1.0,1.0184006519909872,good,0.5,0.8944271909999159,0.05,70255,0.70255,5387,9883,0.5450774056460589,3513,5000,0.08782758271779824,0.12890822624709097,0.11524840635434584,0.16938176667003946,0.08155418395224122,0.054133360315693616,0.027420823636547603,0.041080643529292735,0.027420823636547603,0.027420823636547603,0.047607001922493175,0.033947182029748044,0.01305271678640088,0.08155418395224122,0.0,0.0,0.0,806,535,271,406,271,129,0,0
